# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time    Submission Time    Processing Cost
    147        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    367        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    475        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    999        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    1351        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    1443        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    1539        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    1735        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    1815        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    2563        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    2799        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    2891        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    3035        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    3079        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    3495        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    3507        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    3539        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    3675        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    3727        SUCCESS        3            3            0.12        0.1            0.22        0.1        3
    175        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    263        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    323        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    563        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    667        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    707        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    739        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    919        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1019        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1095        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1263        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1311        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1331        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1439        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1459        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1699        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    1711        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    2055        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    2283        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    2607        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    2819        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    2847        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    2923        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    3007        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    3103        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    3131        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    3255        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    3279        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
    3343        SUCCESS        3            3            0.25        0.1            0.35        0.1        3
