# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    174        SUCCESS        2            4            0.11        0.1            0.21
    519        SUCCESS        2            4            0.11        0.1            0.21
    539        SUCCESS        2            4            0.11        0.1            0.21
    829        SUCCESS        2            4            0.11        0.1            0.21
    2214        SUCCESS        2            4            0.11        0.1            0.21
    2434        SUCCESS        2            4            0.11        0.1            0.21
    2454        SUCCESS        2            4            0.11        0.1            0.21
    2459        SUCCESS        2            4            0.11        0.1            0.21
    2534        SUCCESS        2            4            0.11        0.1            0.21
    3169        SUCCESS        2            4            0.11        0.1            0.21
    3614        SUCCESS        2            4            0.11        0.1            0.21
    3819        SUCCESS        2            4            0.11        0.1            0.21
    347        SUCCESS        2            2            0.22        0.1            0.32
    352        SUCCESS        2            2            0.22        0.1            0.32
    407        SUCCESS        2            2            0.22        0.1            0.32
    652        SUCCESS        2            2            0.22        0.1            0.32
    787        SUCCESS        2            2            0.22        0.1            0.32
    1017        SUCCESS        2            2            0.22        0.1            0.32
    1217        SUCCESS        2            2            0.22        0.1            0.32
    1312        SUCCESS        2            2            0.22        0.1            0.32
    1317        SUCCESS        2            2            0.22        0.1            0.32
    1712        SUCCESS        2            2            0.22        0.1            0.32
    1982        SUCCESS        2            2            0.22        0.1            0.32
    2037        SUCCESS        2            2            0.22        0.1            0.32
    2062        SUCCESS        2            2            0.22        0.1            0.32
    2122        SUCCESS        2            2            0.22        0.1            0.32
    2212        SUCCESS        2            2            0.22        0.1            0.32
    2272        SUCCESS        2            2            0.22        0.1            0.32
    3162        SUCCESS        2            2            0.22        0.1            0.32
    3192        SUCCESS        2            2            0.22        0.1            0.32
    3197        SUCCESS        2            2            0.22        0.1            0.32
    3447        SUCCESS        2            2            0.22        0.1            0.32
    3572        SUCCESS        2            2            0.22        0.1            0.32
    439        SUCCESS        2            4            0.22        0.1            0.32
    574        SUCCESS        2            4            0.22        0.1            0.32
    1169        SUCCESS        2            4            0.22        0.1            0.32
    1344        SUCCESS        2            4            0.22        0.1            0.32
    1414        SUCCESS        2            4            0.22        0.1            0.32
    1649        SUCCESS        2            4            0.22        0.1            0.32
    1654        SUCCESS        2            4            0.22        0.1            0.32
    2364        SUCCESS        2            4            0.22        0.1            0.32
    2519        SUCCESS        2            4            0.22        0.1            0.32
    2794        SUCCESS        2            4            0.22        0.1            0.32
    3134        SUCCESS        2            4            0.22        0.1            0.32
    3789        SUCCESS        2            4            0.22        0.1            0.32
    373        SUCCESS        2            3            0.22        0.1            0.32
    693        SUCCESS        2            3            0.22        0.1            0.32
    828        SUCCESS        2            3            0.22        0.1            0.32
    883        SUCCESS        2            3            0.22        0.1            0.32
    1098        SUCCESS        2            3            0.22        0.1            0.32
    1458        SUCCESS        2            3            0.22        0.1            0.32
    1603        SUCCESS        2            3            0.22        0.1            0.32
    1653        SUCCESS        2            3            0.22        0.1            0.32
    1828        SUCCESS        2            3            0.22        0.1            0.32
    1938        SUCCESS        2            3            0.22        0.1            0.32
    2103        SUCCESS        2            3            0.22        0.1            0.32
