# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    212        6.00        2            4            79.3        0.1            79.4
    377        6.00        2            4            79.3        0.1            79.4
    557        6.00        2            4            79.3        0.1            79.4
    617        6.00        2            4            79.3        0.1            79.4
    742        6.00        2            4            79.3        0.1            79.4
    872        6.00        2            4            79.3        0.1            79.4
    907        6.00        2            4            79.3        0.1            79.4
    1027        6.00        2            4            79.3        0.1            79.4
    1132        6.00        2            4            79.3        0.1            79.4
    1217        6.00        2            4            79.3        0.1            79.4
    2187        6.00        2            4            79.3        0.1            79.4
    2422        6.00        2            4            79.3        0.1            79.4
    2437        6.00        2            4            79.3        0.1            79.4
    2952        6.00        2            4            79.3        0.1            79.4
    3057        6.00        2            4            79.3        0.1            79.4
    3172        6.00        2            4            79.3        0.1            79.4
    3192        6.00        2            4            79.3        0.1            79.4
    3387        6.00        2            4            79.3        0.1            79.4
    3737        6.00        2            4            79.3        0.1            79.4
    3752        6.00        2            4            79.3        0.1            79.4
    3907        6.00        2            4            79.3        0.1            79.4
    4        6.00        3            3            99.12        0.1            99.22
    304        6.00        3            3            99.12        0.1            99.22
    389        6.00        3            3            99.12        0.1            99.22
    684        6.00        3            3            99.12        0.1            99.22
    794        6.00        3            3            99.12        0.1            99.22
    969        6.00        3            3            99.12        0.1            99.22
    974        6.00        3            3            99.12        0.1            99.22
    1354        6.00        3            3            99.12        0.1            99.22
    1464        6.00        3            3            99.12        0.1            99.22
    1689        6.00        3            3            99.12        0.1            99.22
    1739        6.00        3            3            99.12        0.1            99.22
    2009        6.00        3            3            99.12        0.1            99.22
    2424        6.00        3            3            99.12        0.1            99.22
    2504        6.00        3            3            99.12        0.1            99.22
    2509        6.00        3            3            99.12        0.1            99.22
    2849        6.00        3            3            99.12        0.1            99.22
    3064        6.00        3            3            99.12        0.1            99.22
    3209        6.00        3            3            99.12        0.1            99.22
    3394        6.00        3            3            99.12        0.1            99.22
    3449        6.00        3            3            99.12        0.1            99.22
    3504        6.00        3            3            99.12        0.1            99.22
    3579        6.00        3            3            99.12        0.1            99.22
    3854        6.00        3            3            99.12        0.1            99.22
    3914        6.00        3            3            99.12        0.1            99.22
    126        6.00        2            2            132.13        0.1            132.23
    221        6.00        2            2            132.13        0.1            132.23
    651        6.00        2            2            132.13        0.1            132.23
    681        6.00        2            2            132.13        0.1            132.23
    751        6.00        2            2            132.13        0.1            132.23
    971        6.00        2            2            132.13        0.1            132.23
    1201        6.00        2            2            132.13        0.1            132.23
    1341        6.00        2            2            132.13        0.1            132.23
    1351        6.00        2            2            132.13        0.1            132.23
    1541        6.00        2            2            132.13        0.1            132.23
    1691        6.00        2            2            132.13        0.1            132.23
    2056        6.00        2            2            132.13        0.1            132.23
    2136        6.00        2            2            132.13        0.1            132.23
    2426        6.00        2            2            132.13        0.1            132.23
    2831        6.00        2            2            132.13        0.1            132.23
    3041        6.00        2            2            132.13        0.1            132.23
    3276        6.00        2            2            132.13        0.1            132.23
    3781        6.00        2            2            132.13        0.1            132.23
    3906        6.00        2            2            132.13        0.1            132.23
    3956        6.00        2            2            132.13        0.1            132.23
    42        6.00        2            4            157.13        0.1            157.23
    192        6.00        2            4            157.13        0.1            157.23
    197        6.00        2            4            157.13        0.1            157.23
    442        6.00        2            4            157.13        0.1            157.23
    1822        6.00        2            4            157.13        0.1            157.23
    1972        6.00        2            4            157.13        0.1            157.23
    2227        6.00        2            4            157.13        0.1            157.23
    2292        6.00        2            4            157.13        0.1            157.23
    2397        6.00        2            4            157.13        0.1            157.23
    2702        6.00        2            4            157.13        0.1            157.23
    2812        6.00        2            4            157.13        0.1            157.23
    2912        6.00        2            4            157.13        0.1            157.23
    3037        6.00        2            4            157.13        0.1            157.23
    3222        6.00        2            4            157.13        0.1            157.23
    3227        6.00        2            4            157.13        0.1            157.23
    3277        6.00        2            4            157.13        0.1            157.23
    3452        6.00        2            4            157.13        0.1            157.23
    3727        6.00        2            4            157.13        0.1            157.23
    3852        6.00        2            4            157.13        0.1            157.23
    3952        6.00        2            4            157.13        0.1            157.23
    94        6.00        3            3            196.1        0.1            196.2
    369        6.00        3            3            196.1        0.1            196.2
    504        6.00        3            3            196.1        0.1            196.2
    694        6.00        3            3            196.1        0.1            196.2
    764        6.00        3            3            196.1        0.1            196.2
    1094        6.00        3            3            196.1        0.1            196.2
    1334        6.00        3            3            196.1        0.1            196.2
    1489        6.00        3            3            196.1        0.1            196.2
    1494        6.00        3            3            196.1        0.1            196.2
    1794        6.00        3            3            196.1        0.1            196.2
    1809        6.00        3            3            196.1        0.1            196.2
    1829        6.00        3            3            196.1        0.1            196.2
    2294        6.00        3            3            196.1        0.1            196.2
    2464        6.00        3            3            196.1        0.1            196.2
    2704        6.00        3            3            196.1        0.1            196.2
    2884        6.00        3            3            196.1        0.1            196.2
    3564        6.00        3            3            196.1        0.1            196.2
    3644        6.00        3            3            196.1        0.1            196.2
    3824        6.00        3            3            196.1        0.1            196.2
    83        6.00        3            1            198.1        0.1            198.2
    528        6.00        3            1            198.1        0.1            198.2
    748        6.00        3            1            198.1        0.1            198.2
    1028        6.00        3            1            198.1        0.1            198.2
    1053        6.00        3            1            198.1        0.1            198.2
    1538        6.00        3            1            198.1        0.1            198.2
    2413        6.00        3            1            198.1        0.1            198.2
    2623        6.00        3            1            198.1        0.1            198.2
    2718        6.00        3            1            198.1        0.1            198.2
    2918        6.00        3            1            198.1        0.1            198.2
    3248        6.00        3            1            198.1        0.1            198.2
    3303        6.00        3            1            198.1        0.1            198.2
    3588        6.00        3            1            198.1        0.1            198.2
    3853        6.00        3            1            198.1        0.1            198.2
    3913        6.00        3            1            198.1        0.1            198.2
    3968        6.00        3            1            198.1        0.1            198.2
    12        6.00        2            4            233.01        0.1            233.11
    607        6.00        2            4            233.01        0.1            233.11
    882        6.00        2            4            233.01        0.1            233.11
    1137        6.00        2            4            233.01        0.1            233.11
    1322        6.00        2            4            233.01        0.1            233.11
    1352        6.00        2            4            233.01        0.1            233.11
    1477        6.00        2            4            233.01        0.1            233.11
    1612        6.00        2            4            233.01        0.1            233.11
    1617        6.00        2            4            233.01        0.1            233.11
    1632        6.00        2            4            233.01        0.1            233.11
    2067        6.00        2            4            233.01        0.1            233.11
    2157        6.00        2            4            233.01        0.1            233.11
    2202        6.00        2            4            233.01        0.1            233.11
    2577        6.00        2            4            233.01        0.1            233.11
    2627        6.00        2            4            233.01        0.1            233.11
    3082        6.00        2            4            233.01        0.1            233.11
    3147        6.00        2            4            233.01        0.1            233.11
    3637        6.00        2            4            233.01        0.1            233.11
    3662        6.00        2            4            233.01        0.1            233.11
    3877        6.00        2            4            233.01        0.1            233.11
    3917        6.00        2            4            233.01        0.1            233.11
    3927        6.00        2            4            233.01        0.1            233.11
    141        6.00        2            2            262.01        0.1            262.11
    256        6.00        2            2            262.01        0.1            262.11
    396        6.00        2            2            262.01        0.1            262.11
    556        6.00        2            2            262.01        0.1            262.11
    716        6.00        2            2            262.01        0.1            262.11
    871        6.00        2            2            262.01        0.1            262.11
    876        6.00        2            2            262.01        0.1            262.11
    881        6.00        2            2            262.01        0.1            262.11
    886        6.00        2            2            262.01        0.1            262.11
    1386        6.00        2            2            262.01        0.1            262.11
    1606        6.00        2            2            262.01        0.1            262.11
    1626        6.00        2            2            262.01        0.1            262.11
    2046        6.00        2            2            262.01        0.1            262.11
    2506        6.00        2            2            262.01        0.1            262.11
    2526        6.00        2            2            262.01        0.1            262.11
    2566        6.00        2            2            262.01        0.1            262.11
    2671        6.00        2            2            262.01        0.1            262.11
    2716        6.00        2            2            262.01        0.1            262.11
    2956        6.00        2            2            262.01        0.1            262.11
    3026        6.00        2            2            262.01        0.1            262.11
    3046        6.00        2            2            262.01        0.1            262.11
    3316        6.00        2            2            262.01        0.1            262.11
    3331        6.00        2            2            262.01        0.1            262.11
    3576        6.00        2            2            262.01        0.1            262.11
    3606        6.00        2            2            262.01        0.1            262.11
    9        6.00        3            3            290.64        0.1            290.74
    34        6.00        3            3            290.64        0.1            290.74
    69        6.00        3            3            290.64        0.1            290.74
    164        6.00        3            3            290.64        0.1            290.74
    509        6.00        3            3            290.64        0.1            290.74
    674        6.00        3            3            290.64        0.1            290.74
    784        6.00        3            3            290.64        0.1            290.74
    954        6.00        3            3            290.64        0.1            290.74
    979        6.00        3            3            290.64        0.1            290.74
    1034        6.00        3            3            290.64        0.1            290.74
    1049        6.00        3            3            290.64        0.1            290.74
    1174        6.00        3            3            290.64        0.1            290.74
    1609        6.00        3            3            290.64        0.1            290.74
    1659        6.00        3            3            290.64        0.1            290.74
    1789        6.00        3            3            290.64        0.1            290.74
    1959        6.00        3            3            290.64        0.1            290.74
    2474        6.00        3            3            290.64        0.1            290.74
    2669        6.00        3            3            290.64        0.1            290.74
    2689        6.00        3            3            290.64        0.1            290.74
    2714        6.00        3            3            290.64        0.1            290.74
    2744        6.00        3            3            290.64        0.1            290.74
    2754        6.00        3            3            290.64        0.1            290.74
    3004        6.00        3            3            290.64        0.1            290.74
    3044        6.00        3            3            290.64        0.1            290.74
    3264        6.00        3            3            290.64        0.1            290.74
    3269        6.00        3            3            290.64        0.1            290.74
    3429        6.00        3            3            290.64        0.1            290.74
    3884        6.00        3            3            290.64        0.1            290.74
    3969        6.00        3            3            290.64        0.1            290.74
    3999        6.00        3            3            290.64        0.1            290.74
    92        6.00        2            4            306.72        0.1            306.82
    292        6.00        2            4            306.72        0.1            306.82
    312        6.00        2            4            306.72        0.1            306.82
    387        6.00        2            4            306.72        0.1            306.82
    512        6.00        2            4            306.72        0.1            306.82
    822        6.00        2            4            306.72        0.1            306.82
    947        6.00        2            4            306.72        0.1            306.82
    1337        6.00        2            4            306.72        0.1            306.82
    1547        6.00        2            4            306.72        0.1            306.82
    1567        6.00        2            4            306.72        0.1            306.82
    1592        6.00        2            4            306.72        0.1            306.82
    1662        6.00        2            4            306.72        0.1            306.82
    1787        6.00        2            4            306.72        0.1            306.82
    1877        6.00        2            4            306.72        0.1            306.82
    2322        6.00        2            4            306.72        0.1            306.82
    2372        6.00        2            4            306.72        0.1            306.82
    2617        6.00        2            4            306.72        0.1            306.82
    2757        6.00        2            4            306.72        0.1            306.82
    2782        6.00        2            4            306.72        0.1            306.82
    3687        6.00        2            4            306.72        0.1            306.82
    3742        6.00        2            4            306.72        0.1            306.82
    162        6.00        2            4            378.31        0.1            378.41
    562        6.00        2            4            378.31        0.1            378.41
    892        6.00        2            4            378.31        0.1            378.41
    927        6.00        2            4            378.31        0.1            378.41
    1227        6.00        2            4            378.31        0.1            378.41
    1272        6.00        2            4            378.31        0.1            378.41
    1672        6.00        2            4            378.31        0.1            378.41
