# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    3        SUCCESS        2            3            2        0.1            2.1
    4        SUCCESS        2            4            2.4        0.1            2.5
    8        SUCCESS        2            3            0.51        2.1            2.61
    13        SUCCESS        2            3            1.25        2.61            3.86
    2        SUCCESS        2            2            5.17        0.1            5.27
    9        SUCCESS        2            4            3.4        2.5            5.9
    14        SUCCESS        2            4            0.4        5.9            6.3
    19        SUCCESS        2            4            1        6.3            7.3
    18        SUCCESS        2            3            3.87        3.86            7.73
    24        SUCCESS        2            4            1.3        7.3            8.6
    1        SUCCESS        2            1            9.75        0.1            9.85
    7        SUCCESS        2            2            4.83        5.27            10.1
    23        SUCCESS        2            3            4        7.73            11.73
    29        SUCCESS        2            4            3.24        8.6            11.84
    28        SUCCESS        2            3            0.62        11.73            12.36
    34        SUCCESS        2            4            1.5        11.84            13.34
    12        SUCCESS        2            2            4.83        10.1            14.93
    33        SUCCESS        2            3            3.12        12.36            15.48
    39        SUCCESS        2            4            3.2        13.34            16.54
    44        SUCCESS        2            4            0.3        16.54            16.84
    6        SUCCESS        2            1            7.1        9.85            16.95
    0        SUCCESS        2            0            19.5        0.1            19.6
    49        SUCCESS        2            4            3.1        16.84            19.94
    38        SUCCESS        2            3            4.75        15.48            20.23
    54        SUCCESS        2            4            0.9        19.94            20.84
    17        SUCCESS        2            2            6.5        14.93            21.43
    22        SUCCESS        2            2            0.67        21.43            22.1
    59        SUCCESS        2            4            2.2        20.84            23.04
    11        SUCCESS        2            1            6.5        16.95            23.45
    43        SUCCESS        2            3            3.33        20.23            23.56
    16        SUCCESS        2            1            1.5        23.45            24.95
    64        SUCCESS        2            4            2.6        23.04            25.64
    48        SUCCESS        2            3            4.25        23.56            27.81
    27        SUCCESS        2            2            6        22.1            28.1
    5        SUCCESS        2            0            9        19.6            28.6
    69        SUCCESS        2            4            3.4        25.64            29.04
    74        SUCCESS        2            4            0.7        29.04            29.74
    79        SUCCESS        2            4            1.6        29.74            31.34
    84        SUCCESS        2            4            0.2        31.34            31.54
    53        SUCCESS        2            3            4.38        27.81            32.19
    32        SUCCESS        2            2            4.83        28.1            32.93
    37        SUCCESS        2            2            0.5        32.93            33.43
    21        SUCCESS        2            1            8.59        24.95            33.54
    58        SUCCESS        2            3            1.75        32.19            33.94
    89        SUCCESS        2            4            2.5        31.54            34.05
    94        SUCCESS        2            4            2.6        34.05            36.65
    63        SUCCESS        2            3            3.88        33.94            37.81
    42        SUCCESS        2            2            4.5        33.43            37.93
    99        SUCCESS        2            4            1.4        36.65            38.05
    68        SUCCESS        2            3            1        37.81            38.81
    26        SUCCESS        2            1            5.5        33.54            39.04
    73        SUCCESS        2            3            0.62        38.81            39.44
    10        SUCCESS        2            0            13        28.6            41.6
    104        SUCCESS        2            4            3.7        38.05            41.75
    78        SUCCESS        2            3            2.75        39.44            42.19
    47        SUCCESS        2            2            4.67        37.93            42.6
    109        SUCCESS        2            4            3.1        41.75            44.85
    83        SUCCESS        2            3            3.25        42.19            45.44
    31        SUCCESS        2            1            8        39.04            47.04
    88        SUCCESS        2            3            1.71        45.44            47.15
    114        SUCCESS        2            4            2.5        44.85            47.35
    93        SUCCESS        2            3            0.31        47.15            47.46
    119        SUCCESS        2            4            0.4        47.35            47.75
    52        SUCCESS        2            2            5.67        42.6            48.26
    36        SUCCESS        2            1            2.25        47.04            49.29
    57        SUCCESS        2            2            1.5        48.26            49.76
    98        SUCCESS        2            3            3.12        47.46            50.58
    103        SUCCESS        2            3            0.38        50.58            50.96
    124        SUCCESS        2            4            3.5        47.75            51.25
    62        SUCCESS        2            2            1.59        49.76            51.36
    129        SUCCESS        2            4            0.7        51.25            51.95
    134        SUCCESS        2            4            0.9        51.95            52.85
    108        SUCCESS        2            3            4.12        50.96            55.08
    67        SUCCESS        2            2            4.17        51.36            55.52
    15        SUCCESS        2            0            14.5        41.6            56.09
    139        SUCCESS        2            4            3.4        52.85            56.25
    41        SUCCESS        2            1            7.25        49.29            56.54
    144        SUCCESS        2            4            1.6        56.25            57.85
    72        SUCCESS        2            2            3.67        55.52            59.19
    149        SUCCESS        2            4            1.45        57.85            59.3
    113        SUCCESS        2            3            4.22        55.08            59.3
    154        SUCCESS        2            4            0.9        59.3            60.2
    159        SUCCESS        2            4            0.8        60.2            61
    118        SUCCESS        2            3            2.87        59.3            62.17
    164        SUCCESS        2            4            2.7        61            63.7
    169        SUCCESS        2            4            0.6        63.7            64.3
    174        SUCCESS        2            4            0.11        64.3            64.41
    46        SUCCESS        2            1            9        56.54            65.54
    20        SUCCESS        2            0            9.55        56.09            65.65
    77        SUCCESS        2            2            6.57        59.19            65.76
    123        SUCCESS        2            3            4        62.17            66.17
    179        SUCCESS        2            4            2.1        64.41            66.51
    51        SUCCESS        2            1            2        65.54            67.54
    128        SUCCESS        2            3            1.5        66.17            67.67
    133        SUCCESS        2            3            0.88        67.67            68.55
    56        SUCCESS        2            1            1.5        67.54            69.04
    184        SUCCESS        2            4            2.7        66.51            69.21
    61        SUCCESS        2            1            0.28        69.04            69.32
    66        SUCCESS        2            1            2        69.32            71.32
    82        SUCCESS        2            2            5.83        65.76            71.59
    189        SUCCESS        2            4            4        69.21            73.21
    138        SUCCESS        2            3            4.87        68.55            73.42
    87        SUCCESS        2            2            2.33        71.59            73.92
    71        SUCCESS        2            1            3.25        71.32            74.57
    143        SUCCESS        2            3            2.37        73.42            75.8
    194        SUCCESS        2            4            3.7        73.21            76.91
    199        SUCCESS        2            4            0.3        76.91            77.21
    148        SUCCESS        2            3            1.52        75.8            77.32
    204        SUCCESS        2            4            0.3        77.21            77.51
    92        SUCCESS        2            2            3.83        73.92            77.76
    209        SUCCESS        2            4            2.2        77.51            79.71
    214        SUCCESS        2            4            0.4        79.71            80.11
    25        SUCCESS        2            0            14.57        65.65            80.22
    153        SUCCESS        2            3            3.01        77.32            80.33
    76        SUCCESS        2            1            6.5        74.57            81.07
    219        SUCCESS        2            4            1.7        80.11            81.81
    158        SUCCESS        2            3            2.12        80.33            82.45
    224        SUCCESS        2            4            0.8        81.81            82.61
    163        SUCCESS        2            3            0.27        82.45            82.72
    168        SUCCESS        2            3            1.25        82.72            83.97
    97        SUCCESS        2            2            6.33        77.76            84.09
    81        SUCCESS        2            1            3.75        81.07            84.82
    229        SUCCESS        2            4            2.8        82.61            85.41
    173        SUCCESS        2            3            2.12        83.97            86.09
    234        SUCCESS        2            4            0.8        85.41            86.2
    102        SUCCESS        2            2            3.5        84.09            87.59
    239        SUCCESS        2            4            1.5        86.2            87.7
    30        SUCCESS        2            0            8.5        80.22            88.72
    244        SUCCESS        2            4            1.13        87.7            88.83
    107        SUCCESS        2            2            2.83        87.59            90.42
    178        SUCCESS        2            3            4.5        86.09            90.59
    249        SUCCESS        2            4            2.7        88.83            91.53
    86        SUCCESS        2            1            7        84.82            91.81
    112        SUCCESS        2            2            2.67        90.42            93.09
    183        SUCCESS        2            3            2.87        90.59            93.47
    254        SUCCESS        2            4            2.6        91.53            94.13
    259        SUCCESS        2            4            1        94.13            95.13
    117        SUCCESS        2            2            2.17        93.09            95.25
    264        SUCCESS        2            4            1.8        95.13            96.93
    35        SUCCESS        2            0            9        88.72            97.72
    188        SUCCESS        2            3            4.62        93.47            98.09
    122        SUCCESS        2            2            3.17        95.25            98.42
    91        SUCCESS        2            1            7.25        91.81            99.06
    269        SUCCESS        2            4            3.8        96.93            100.72
    274        SUCCESS        2            4            1.5        100.72            102.22
    193        SUCCESS        2            3            4.5        98.09            102.59
