# ========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    4        SUCCESS        2            4            0.3        0.1            0.4
    9        SUCCESS        2            4            0.4        0.4            0.8
    2        SUCCESS        2            2            4        0.1            4.1
    14        SUCCESS        2            4            3.3        0.8            4.1
    3        SUCCESS        2            3            4.5        0.1            4.6
    19        SUCCESS        2            4            1.3        4.1            5.4
    8        SUCCESS        2            3            2.88        4.6            7.48
    24        SUCCESS        2            4            2.5        5.4            7.9
    29        SUCCESS        2            4            1.4        7.9            9.3
    1        SUCCESS        2            1            9.75        0.1            9.85
    7        SUCCESS        2            2            6.33        4.1            10.43
    13        SUCCESS        2            3            3.12        7.48            10.6
    0        SUCCESS        2            0            11        0.1            11.1
    5        SUCCESS        2            0            0.5        11.1            11.6
    34        SUCCESS        2            4            2.8        9.3            12.1
    18        SUCCESS        2            3            2.62        10.6            13.22
    39        SUCCESS        2            4            1.7        12.1            13.8
    44        SUCCESS        2            4            1        13.8            14.8
    12        SUCCESS        2            2            5.17        10.43            15.6
    23        SUCCESS        2            3            3.75        13.22            16.97
    6        SUCCESS        2            1            7.75        9.85            17.6
    17        SUCCESS        2            2            3        15.6            18.6
    49        SUCCESS        2            4            3.8        14.8            18.6
    28        SUCCESS        2            3            2.12        16.97            19.1
    54        SUCCESS        2            4            0.7        18.6            19.3
    59        SUCCESS        2            4            0.3        19.3            19.6
    11        SUCCESS        2            1            2.5        17.6            20.1
    64        SUCCESS        2            4            2.8        19.6            22.4
    33        SUCCESS        2            3            4.62        19.1            23.72
    69        SUCCESS        2            4            2        22.4            24.4
    22        SUCCESS        2            2            5.91        18.6            24.51
    10        SUCCESS        2            0            15        11.6            26.6
    16        SUCCESS        2            1            6.75        20.1            26.85
    27        SUCCESS        2            2            2.5        24.51            27.01
    21        SUCCESS        2            1            0.5        26.85            27.35
    38        SUCCESS        2            3            4.13        23.72            27.85
    74        SUCCESS        2            4            3.56        24.4            27.96
    79        SUCCESS        2            4            0.8        27.96            28.76
    84        SUCCESS        2            4            0.2        28.76            28.96
    26        SUCCESS        2            1            2.75        27.35            30.1
    89        SUCCESS        2            4            1.6        28.96            30.56
    94        SUCCESS        2            4            0.4        30.56            30.96
    43        SUCCESS        2            3            3.75        27.85            31.6
    48        SUCCESS        2            3            0.12        31.6            31.72
    32        SUCCESS        2            2            6        27.01            33.01
    37        SUCCESS        2            2            1        33.01            34.01
    99        SUCCESS        2            4            3.6        30.96            34.56
    53        SUCCESS        2            3            3        31.72            34.72
    31        SUCCESS        2            1            6        30.1            36.1
    42        SUCCESS        2            2            2.33        34.01            36.34
    58        SUCCESS        2            3            2.37        34.72            37.1
    104        SUCCESS        2            4            3.8        34.56            38.36
    36        SUCCESS        2            1            2.75        36.1            38.85
    47        SUCCESS        2            2            4.67        36.34            41.01
    41        SUCCESS        2            1            2.27        38.85            41.12
    109        SUCCESS        2            4            3.6        38.36            41.96
    63        SUCCESS        2            3            4.97        37.1            42.07
    114        SUCCESS        2            4            1.7        41.96            43.66
    15        SUCCESS        2            0            17.5        26.6            44.1
    119        SUCCESS        2            4            0.6        43.66            44.26
    52        SUCCESS        2            2            4.17        41.01            45.18
    68        SUCCESS        2            3            3.37        42.07            45.44
    73        SUCCESS        2            3            0.38        45.44            45.82
    124        SUCCESS        2            4            2.5        44.26            46.76
    78        SUCCESS        2            3            3        45.82            48.82
    46        SUCCESS        2            1            7.81        41.12            48.93
    129        SUCCESS        2            4            2.7        46.76            49.46
    134        SUCCESS        2            4            0.11        49.46            49.57
    139        SUCCESS        2            4            0.11        49.57            49.68
    57        SUCCESS        2            2            4.83        45.18            50.01
    83        SUCCESS        2            3            2.12        48.82            50.94
    88        SUCCESS        2            3            1.75        50.94            52.69
    144        SUCCESS        2            4            3.4        49.68            53.08
    149        SUCCESS        2            4            2.4        53.08            55.48
    62        SUCCESS        2            2            5.83        50.01            55.84
    51        SUCCESS        2            1            8        48.93            56.93
    93        SUCCESS        2            3            4.62        52.69            57.32
    98        SUCCESS        2            3            0.25        57.32            57.57
    154        SUCCESS        2            4            2.2        55.48            57.68
    103        SUCCESS        2            3            1.88        57.57            59.44
    159        SUCCESS        2            4            3.3        57.68            60.98
    20        SUCCESS        2            0            17.5        44.1            61.6
    67        SUCCESS        2            2            6.67        55.84            62.51
    56        SUCCESS        2            1            6.5        56.93            63.43
    108        SUCCESS        2            3            4.12        59.44            63.57
    164        SUCCESS        2            4            3.3        60.98            64.28
    72        SUCCESS        2            2            2.67        62.51            65.17
    169        SUCCESS        2            4            1.3        64.28            65.58
    113        SUCCESS        2            3            2.37        63.57            65.94
    174        SUCCESS        2            4            1.8        65.58            67.38
    179        SUCCESS        2            4            0.5        67.38            67.88
    118        SUCCESS        2            3            2.62        65.94            68.57
    184        SUCCESS        2            4            0.8        67.88            68.68
    77        SUCCESS        2            2            3.67        65.17            68.84
    189        SUCCESS        2            4            0.8        68.68            69.48
    61        SUCCESS        2            1            6.25        63.43            69.67
    194        SUCCESS        2            4            0.5        69.48            69.98
    123        SUCCESS        2            3            2.75        68.57            71.32
    66        SUCCESS        2            1            1.75        69.67            71.43
    82        SUCCESS        2            2            4.17        68.84            73.01
    199        SUCCESS        2            4            3.4        69.98            73.38
    204        SUCCESS        2            4            0.5        73.38            73.88
    128        SUCCESS        2            3            4.5        71.32            75.82
    209        SUCCESS        2            4            2.1        73.88            75.98
    133        SUCCESS        2            3            0.62        75.82            76.44
    214        SUCCESS        2            4            1.5        75.98            77.48
    87        SUCCESS        2            2            4.67        73.01            77.67
    138        SUCCESS        2            3            1.37        76.44            77.82
    25        SUCCESS        2            0            18.5        61.6            80.1
    71        SUCCESS        2            1            8.78        71.43            80.21
    92        SUCCESS        2            2            2.53        77.67            80.21
    143        SUCCESS        2            3            2.62        77.82            80.44
    219        SUCCESS        2            4            3.07        77.48            80.55
    97        SUCCESS        2            2            2.33        80.21            82.54
    224        SUCCESS        2            4            2.8        80.55            83.35
    76        SUCCESS        2            1            4.5        80.21            84.7
    229        SUCCESS        2            4            1.7        83.35            85.05
    234        SUCCESS        2            4            0.2        85.05            85.25
    148        SUCCESS        2            3            4.92        80.44            85.36
    153        SUCCESS        2            3            2        85.36            87.36
    239        SUCCESS        2            4            2.6        85.25            87.85
