# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    299        SUCCESS        2            4            79.3        0.1            79.4
    389        SUCCESS        2            4            79.3        0.1            79.4
    524        SUCCESS        2            4            79.3        0.1            79.4
    659        SUCCESS        2            4            79.3        0.1            79.4
    739        SUCCESS        2            4            79.3        0.1            79.4
    954        SUCCESS        2            4            79.3        0.1            79.4
    1059        SUCCESS        2            4            79.3        0.1            79.4
    1114        SUCCESS        2            4            79.3        0.1            79.4
    1459        SUCCESS        2            4            79.3        0.1            79.4
    1599        SUCCESS        2            4            79.3        0.1            79.4
    1634        SUCCESS        2            4            79.3        0.1            79.4
    1809        SUCCESS        2            4            79.3        0.1            79.4
    2009        SUCCESS        2            4            79.3        0.1            79.4
    2089        SUCCESS        2            4            79.3        0.1            79.4
    2119        SUCCESS        2            4            79.3        0.1            79.4
    2194        SUCCESS        2            4            79.3        0.1            79.4
    2349        SUCCESS        2            4            79.3        0.1            79.4
    2389        SUCCESS        2            4            79.3        0.1            79.4
    2529        SUCCESS        2            4            79.3        0.1            79.4
    2809        SUCCESS        2            4            79.3        0.1            79.4
    2894        SUCCESS        2            4            79.3        0.1            79.4
    3079        SUCCESS        2            4            79.3        0.1            79.4
    3094        SUCCESS        2            4            79.3        0.1            79.4
    3289        SUCCESS        2            4            79.3        0.1            79.4
    3669        SUCCESS        2            4            79.3        0.1            79.4
    3749        SUCCESS        2            4            79.3        0.1            79.4
    378        SUCCESS        2            3            99.1        0.1            99.2
    588        SUCCESS        2            3            99.1        0.1            99.2
    683        SUCCESS        2            3            99.1        0.1            99.2
    913        SUCCESS        2            3            99.1        0.1            99.2
    1703        SUCCESS        2            3            99.1        0.1            99.2
    1813        SUCCESS        2            3            99.1        0.1            99.2
    2763        SUCCESS        2            3            99.1        0.1            99.2
    3148        SUCCESS        2            3            99.1        0.1            99.2
    3243        SUCCESS        2            3            99.1        0.1            99.2
    3483        SUCCESS        2            3            99.1        0.1            99.2
    3593        SUCCESS        2            3            99.1        0.1            99.2
    3708        SUCCESS        2            3            99.1        0.1            99.2
    3928        SUCCESS        2            3            99.1        0.1            99.2
    27        SUCCESS        2            2            132.07        0.1            132.17
    192        SUCCESS        2            2            132.07        0.1            132.17
    322        SUCCESS        2            2            132.07        0.1            132.17
    357        SUCCESS        2            2            132.07        0.1            132.17
    502        SUCCESS        2            2            132.07        0.1            132.17
    522        SUCCESS        2            2            132.07        0.1            132.17
    1242        SUCCESS        2            2            132.07        0.1            132.17
    1322        SUCCESS        2            2            132.07        0.1            132.17
    1327        SUCCESS        2            2            132.07        0.1            132.17
    1347        SUCCESS        2            2            132.07        0.1            132.17
    2097        SUCCESS        2            2            132.07        0.1            132.17
    2612        SUCCESS        2            2            132.07        0.1            132.17
    2717        SUCCESS        2            2            132.07        0.1            132.17
    2752        SUCCESS        2            2            132.07        0.1            132.17
    3577        SUCCESS        2            2            132.07        0.1            132.17
    3962        SUCCESS        2            2            132.07        0.1            132.17
    74        SUCCESS        2            4            156.64        0.1            156.74
    109        SUCCESS        2            4            156.64        0.1            156.74
    504        SUCCESS        2            4            156.64        0.1            156.74
    514        SUCCESS        2            4            156.64        0.1            156.74
    844        SUCCESS        2            4            156.64        0.1            156.74
    1024        SUCCESS        2            4            156.64        0.1            156.74
    1334        SUCCESS        2            4            156.64        0.1            156.74
    1839        SUCCESS        2            4            156.64        0.1            156.74
    1974        SUCCESS        2            4            156.64        0.1            156.74
    2604        SUCCESS        2            4            156.64        0.1            156.74
    2734        SUCCESS        2            4            156.64        0.1            156.74
    2764        SUCCESS        2            4            156.64        0.1            156.74
    2909        SUCCESS        2            4            156.64        0.1            156.74
    3619        SUCCESS        2            4            156.64        0.1            156.74
    3869        SUCCESS        2            4            156.64        0.1            156.74
    3919        SUCCESS        2            4            156.64        0.1            156.74
    48        SUCCESS        2            3            197.39        0.1            197.49
    68        SUCCESS        2            3            197.39        0.1            197.49
    198        SUCCESS        2            3            197.39        0.1            197.49
    298        SUCCESS        2            3            197.39        0.1            197.49
    488        SUCCESS        2            3            197.39        0.1            197.49
    533        SUCCESS        2            3            197.39        0.1            197.49
    808        SUCCESS        2            3            197.39        0.1            197.49
    883        SUCCESS        2            3            197.39        0.1            197.49
    953        SUCCESS        2            3            197.39        0.1            197.49
    1358        SUCCESS        2            3            197.39        0.1            197.49
    1393        SUCCESS        2            3            197.39        0.1            197.49
    1978        SUCCESS        2            3            197.39        0.1            197.49
    2123        SUCCESS        2            3            197.39        0.1            197.49
    2158        SUCCESS        2            3            197.39        0.1            197.49
    2308        SUCCESS        2            3            197.39        0.1            197.49
    2358        SUCCESS        2            3            197.39        0.1            197.49
    2413        SUCCESS        2            3            197.39        0.1            197.49
    2438        SUCCESS        2            3            197.39        0.1            197.49
    2568        SUCCESS        2            3            197.39        0.1            197.49
    2948        SUCCESS        2            3            197.39        0.1            197.49
    2973        SUCCESS        2            3            197.39        0.1            197.49
    3128        SUCCESS        2            3            197.39        0.1            197.49
    3373        SUCCESS        2            3            197.39        0.1            197.49
    3428        SUCCESS        2            3            197.39        0.1            197.49
    3583        SUCCESS        2            3            197.39        0.1            197.49
    3638        SUCCESS        2            3            197.39        0.1            197.49
    3958        SUCCESS        2            3            197.39        0.1            197.49
    3983        SUCCESS        2            3            197.39        0.1            197.49
    616        SUCCESS        2            1            198.06        0.1            198.16
    646        SUCCESS        2            1            198.06        0.1            198.16
    866        SUCCESS        2            1            198.06        0.1            198.16
    911        SUCCESS        2            1            198.06        0.1            198.16
    976        SUCCESS        2            1            198.06        0.1            198.16
    1641        SUCCESS        2            1            198.06        0.1            198.16
    1806        SUCCESS        2            1            198.06        0.1            198.16
    1916        SUCCESS        2            1            198.06        0.1            198.16
    2161        SUCCESS        2            1            198.06        0.1            198.16
    2316        SUCCESS        2            1            198.06        0.1            198.16
    2766        SUCCESS        2            1            198.06        0.1            198.16
    2791        SUCCESS        2            1            198.06        0.1            198.16
    2931        SUCCESS        2            1            198.06        0.1            198.16
    3436        SUCCESS        2            1            198.06        0.1            198.16
    3521        SUCCESS        2            1            198.06        0.1            198.16
    3571        SUCCESS        2            1            198.06        0.1            198.16
    3821        SUCCESS        2            1            198.06        0.1            198.16
    174        SUCCESS        2            4            232.42        0.1            232.52
    274        SUCCESS        2            4            232.42        0.1            232.52
    294        SUCCESS        2            4            232.42        0.1            232.52
    839        SUCCESS        2            4            232.42        0.1            232.52
    1179        SUCCESS        2            4            232.42        0.1            232.52
    1294        SUCCESS        2            4            232.42        0.1            232.52
    1384        SUCCESS        2            4            232.42        0.1            232.52
    1479        SUCCESS        2            4            232.42        0.1            232.52
    2244        SUCCESS        2            4            232.42        0.1            232.52
    2479        SUCCESS        2            4            232.42        0.1            232.52
    2619        SUCCESS        2            4            232.42        0.1            232.52
    2694        SUCCESS        2            4            232.42        0.1            232.52
    3234        SUCCESS        2            4            232.42        0.1            232.52
    3299        SUCCESS        2            4            232.42        0.1            232.52
    3309        SUCCESS        2            4            232.42        0.1            232.52
    3329        SUCCESS        2            4            232.42        0.1            232.52
    3694        SUCCESS        2            4            232.42        0.1            232.52
    137        SUCCESS        2            2            262.71        0.1            262.81
    227        SUCCESS        2            2            262.71        0.1            262.81
    517        SUCCESS        2            2            262.71        0.1            262.81
    737        SUCCESS        2            2            262.71        0.1            262.81
    1222        SUCCESS        2            2            262.71        0.1            262.81
    1297        SUCCESS        2            2            262.71        0.1            262.81
    1392        SUCCESS        2            2            262.71        0.1            262.81
    1462        SUCCESS        2            2            262.71        0.1            262.81
    1717        SUCCESS        2            2            262.71        0.1            262.81
    1767        SUCCESS        2            2            262.71        0.1            262.81
    1827        SUCCESS        2            2            262.71        0.1            262.81
    1862        SUCCESS        2            2            262.71        0.1            262.81
    1932        SUCCESS        2            2            262.71        0.1            262.81
    2342        SUCCESS        2            2            262.71        0.1            262.81
    2427        SUCCESS        2            2            262.71        0.1            262.81
    2627        SUCCESS        2            2            262.71        0.1            262.81
    2827        SUCCESS        2            2            262.71        0.1            262.81
    2907        SUCCESS        2            2            262.71        0.1            262.81
    3012        SUCCESS        2            2            262.71        0.1            262.81
    3047        SUCCESS        2            2            262.71        0.1            262.81
    18        SUCCESS        2            3            292.26        0.1            292.36
    158        SUCCESS        2            3            292.26        0.1            292.36
    238        SUCCESS        2            3            292.26        0.1            292.36
    428        SUCCESS        2            3            292.26        0.1            292.36
    448        SUCCESS        2            3            292.26        0.1            292.36
    778        SUCCESS        2            3            292.26        0.1            292.36
    1378        SUCCESS        2            3            292.26        0.1            292.36
    1508        SUCCESS        2            3            292.26        0.1            292.36
    1693        SUCCESS        2            3            292.26        0.1            292.36
    1743        SUCCESS        2            3            292.26        0.1            292.36
    1748        SUCCESS        2            3            292.26        0.1            292.36
    1828        SUCCESS        2            3            292.26        0.1            292.36
    1943        SUCCESS        2            3            292.26        0.1            292.36
    2283        SUCCESS        2            3            292.26        0.1            292.36
    2298        SUCCESS        2            3            292.26        0.1            292.36
    2348        SUCCESS        2            3            292.26        0.1            292.36
    2373        SUCCESS        2            3            292.26        0.1            292.36
    2588        SUCCESS        2            3            292.26        0.1            292.36
