# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time    Submission Time    Processing Cost
    469        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    539        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    629        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    824        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    934        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    1314        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    1789        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    1809        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    1819        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    1834        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    1854        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2019        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2059        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2264        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2434        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2454        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2549        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2594        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2764        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2924        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    2984        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    3639        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    3769        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    3774        SUCCESS        2            4            0.11        0.1            0.21        0.1        60
    42        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    67        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    242        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    772        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    792        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    922        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    1032        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    1642        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    1872        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    1952        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    2012        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    2137        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    2687        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    2697        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    2722        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    2772        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    2787        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    3222        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    3647        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    3967        SUCCESS        2            2            0.22        0.1            0.32        0.1        60
    39        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    139        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    189        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    749        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    804        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    809        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    1074        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    1434        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    1449        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    1454        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    1494        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    1664        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    1944        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    2104        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    2114        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    3064        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    3364        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    3824        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    3874        SUCCESS        2            4            0.22        0.1            0.32        0.1        60
    88        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    133        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    148        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    163        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    323        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    468        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    493        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    523        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    738        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    748        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    1038        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    1083        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    1088        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    1683        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    1758        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    1873        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    2053        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    2118        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    2153        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    2488        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    2988        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    3158        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    3563        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    3723        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    3773        SUCCESS        2            3            0.22        0.1            0.32        0.1        60
    286        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    1111        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    1121        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    1136        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    1361        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    1486        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    1731        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    2131        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    2231        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    2466        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    2946        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    3071        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    3581        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    3686        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    3691        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    3966        SUCCESS        2            1            0.33        0.1            0.43        0.1        60
    204        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    259        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    494        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    659        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    799        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    929        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    989        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    1069        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    1544        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    1564        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    1614        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    1749        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    1844        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    1899        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    2084        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    2159        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    2444        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    2469        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    3089        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    3384        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    3574        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    3714        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    3854        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    3924        SUCCESS        2            4            0.33        0.1            0.43        0.1        60
    158        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    178        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    643        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    808        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    1453        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    1488        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    1518        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    1768        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    1908        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    1963        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    1968        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    2213        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    2243        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    2318        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    2603        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    2613        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    2738        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    2888        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    3048        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    3178        SUCCESS        2            3            0.33        0.1            0.43        0.1        60
    2        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    27        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    77        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    562        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    622        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    872        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    1042        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    1472        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    1547        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    1552        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    2032        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    2112        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    2162        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    2227        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    2282        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    2887        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    3122        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    3137        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    3397        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    3467        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    3692        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    3717        SUCCESS        2            2            0.43        0.1            0.53        0.1        60
    589        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    644        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    854        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    939        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    1004        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    1224        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    1229        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    1474        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    1794        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    1919        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    1954        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    1979        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    2234        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    2279        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    2579        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    2599        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    2744        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    2799        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    2884        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    2944        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    3054        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    3519        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    3679        SUCCESS        2            4            0.43        0.1            0.53        0.1        60
    533        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    888        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    1003        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    1588        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    1993        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    2048        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    2353        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    2393        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    2418        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    2608        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    2743        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    3713        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    3808        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    3813        SUCCESS        2            3            0.43        0.1            0.53        0.1        60
    130        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    185        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    300        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    355        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    1045        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    1820        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    2040        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    2045        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    2230        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    2380        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    2400        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    2500        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    2525        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    2825        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    3255        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    3470        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    3550        SUCCESS        2            0            0.54        0.1            0.64        0.1        60
    161        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    446        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    916        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    1201        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    1206        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    1266        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    1646        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    1991        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    2056        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    2126        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    2291        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    2311        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    2471        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    2761        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    2776        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    3211        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    3316        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    3886        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    3916        SUCCESS        2            1            0.54        0.1            0.64        0.1        60
    102        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    592        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    837        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    997        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    1062        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    1217        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    1637        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    1647        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    1832        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    1847        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    1932        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    2292        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    2717        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    2817        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    2947        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    3482        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    3522        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    3542        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    3562        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    3702        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    3787        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    3907        SUCCESS        2            2            0.54        0.1            0.64        0.1        60
    159        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    389        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    509        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    654        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    699        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    814        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    1359        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    1394        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    1864        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    2199        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    2374        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    2404        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    2839        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    2949        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    3069        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    3244        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    3254        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    3799        SUCCESS        2            4            0.54        0.1            0.64        0.1        60
    138        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    228        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    398        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    413        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    458        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    518        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    648        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    958        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    1178        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    1358        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    1388        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    1648        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    1708        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    1723        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    1828        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    1858        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    2173        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    2203        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    2258        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    2533        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    2868        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    3043        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    3063        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    3968        SUCCESS        2            3            0.54        0.1            0.64        0.1        60
    59        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    354        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    364        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    394        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    434        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    624        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    779        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    789        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    979        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    1329        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    1539        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    2134        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    2194        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    2309        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    2649        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    2719        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    2869        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    3059        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    3164        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    3664        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    3754        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    3864        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    3944        SUCCESS        2            4            0.65        0.1            0.75        0.1        60
    73        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    123        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    513        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    553        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    813        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    978        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    1208        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    1698        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    1813        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    1838        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    2198        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    2398        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
    2458        SUCCESS        2            3            0.65        0.1            0.75        0.1        60
