# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time    Submission Time    Processing Cost
    4        SUCCESS        2            4            2.6        0.1            2.7        0.1        3
    3        SUCCESS        2            3            3        0.1            3.1        0.1        3
    1        SUCCESS        2            1            4        0.1            4.1        0.1        3
    9        SUCCESS        2            4            2.2        2.7            4.9        0.1        3
    2        SUCCESS        2            2            4.91        0.1            5.01        0.1        3
    7        SUCCESS        2            2            1.5        5.01            6.51        0.1        3
    8        SUCCESS        2            3            4.12        3.1            7.22        0.1        3
    6        SUCCESS        2            1            3.25        4.1            7.35        0.1        3
    14        SUCCESS        2            4            3        4.9            7.9        0.1        3
    19        SUCCESS        2            4            0.7        7.9            8.6        0.1        3
    24        SUCCESS        2            4            0.2        8.6            8.8        0.1        3
    29        SUCCESS        2            4            0.5        8.8            9.3        0.1        3
    0        SUCCESS        2            0            10        0.1            10.1        0.1        3
    13        SUCCESS        2            3            3.75        7.22            10.97        0.1        3
    34        SUCCESS        2            4            3.3        9.3            12.6        0.1        3
    39        SUCCESS        2            4            0.4        12.6            13        0.1        3
    12        SUCCESS        2            2            6.67        6.51            13.18        0.1        3
    5        SUCCESS        2            0            4        10.1            14.1        0.1        3
    18        SUCCESS        2            3            3.25        10.97            14.22        0.1        3
    11        SUCCESS        2            1            7.75        7.35            15.1        0.1        3
    44        SUCCESS        2            4            3.8        13            16.8        0.1        3
    17        SUCCESS        2            2            3.73        13.18            16.91        0.1        3
    49        SUCCESS        2            4            0.11        16.8            16.91        0.1        3
    16        SUCCESS        2            1            2        15.1            17.1        0.1        3
    23        SUCCESS        2            3            3.25        14.22            17.47        0.1        3
    54        SUCCESS        2            4            2.1        16.91            19.01        0.1        3
    22        SUCCESS        2            2            3.33        16.91            20.24        0.1        3
    28        SUCCESS        2            3            3.5        17.47            20.97        0.1        3
    59        SUCCESS        2            4            3.4        19.01            22.41        0.1        3
    33        SUCCESS        2            3            2        20.97            22.97        0.1        3
    27        SUCCESS        2            2            3        20.24            23.24        0.1        3
    21        SUCCESS        2            1            6.5        17.1            23.6        0.1        3
    38        SUCCESS        2            3            0.75        22.97            23.72        0.1        3
    64        SUCCESS        2            4            2.7        22.41            25.11        0.1        3
    43        SUCCESS        2            3            2.75        23.72            26.47        0.1        3
    48        SUCCESS        2            3            0.12        26.47            26.6        0.1        3
    69        SUCCESS        2            4            2        25.11            27.11        0.1        3
    10        SUCCESS        2            0            13.5        14.1            27.59        0.1        3
    32        SUCCESS        2            2            4.83        23.24            28.08        0.1        3
    74        SUCCESS        2            4            2.2        27.11            29.31        0.1        3
    53        SUCCESS        2            3            3.25        26.6            29.85        0.1        3
    79        SUCCESS        2            4            0.65        29.31            29.96        0.1        3
    37        SUCCESS        2            2            2        28.08            30.07        0.1        3
    58        SUCCESS        2            3            1        29.85            30.85        0.1        3
    42        SUCCESS        2            2            0.88        30.07            30.96        0.1        3
    84        SUCCESS        2            4            1        29.96            30.96        0.1        3
    26        SUCCESS        2            1            9        23.6            32.59        0.1        3
    31        SUCCESS        2            1            0.5        32.59            33.09        0.1        3
    89        SUCCESS        2            4            2.5        30.96            33.46        0.1        3
    63        SUCCESS        2            3            2.72        30.85            33.57        0.1        3
    94        SUCCESS        2            4            3        33.46            36.46        0.1        3
    15        SUCCESS        2            0            9        27.59            36.59        0.1        3
    47        SUCCESS        2            2            5.74        30.96            36.7        0.1        3
    68        SUCCESS        2            3            4.38        33.57            37.94        0.1        3
    99        SUCCESS        2            4            1.7        36.46            38.16        0.1        3
    36        SUCCESS        2            1            5.25        33.09            38.34        0.1        3
    73        SUCCESS        2            3            1.62        37.94            39.57        0.1        3
    52        SUCCESS        2            2            3.17        36.7            39.87        0.1        3
    104        SUCCESS        2            4            3.5        38.16            41.66        0.1        3
    78        SUCCESS        2            3            2.37        39.57            41.94        0.1        3
    41        SUCCESS        2            1            5        38.34            43.34        0.1        3
    109        SUCCESS        2            4            3.9        41.66            45.56        0.1        3
    20        SUCCESS        2            0            9.07        36.59            45.67        0.1        3
    57        SUCCESS        2            2            6        39.87            45.87        0.1        3
    46        SUCCESS        2            1            2.75        43.34            46.09        0.1        3
    62        SUCCESS        2            2            0.67        45.87            46.53        0.1        3
    83        SUCCESS        2            3            4.87        41.94            46.82        0.1        3
    51        SUCCESS        2            1            3        46.09            49.09        0.1        3
    114        SUCCESS        2            4            3.64        45.56            49.2        0.1        3
    88        SUCCESS        2            3            3.25        46.82            50.07        0.1        3
    93        SUCCESS        2            3            0.62        50.07            50.69        0.1        3
    25        SUCCESS        2            0            5.5        45.67            51.17        0.1        3
    119        SUCCESS        2            4            2.3        49.2            51.5        0.1        3
    67        SUCCESS        2            2            6.67        46.53            53.2        0.1        3
    72        SUCCESS        2            2            0.67        53.2            53.87        0.1        3
    98        SUCCESS        2            3            3.5        50.69            54.19        0.1        3
    56        SUCCESS        2            1            5.25        49.09            54.34        0.1        3
    124        SUCCESS        2            4            2.95        51.5            54.45        0.1        3
    30        SUCCESS        2            0            4        51.17            55.16        0.1        3
    129        SUCCESS        2            4            0.83        54.45            55.27        0.1        3
    61        SUCCESS        2            1            1.05        54.34            55.38        0.1        3
    134        SUCCESS        2            4            0.8        55.27            56.07        0.1        3
    103        SUCCESS        2            3            3.12        54.19            57.31        0.1        3
    139        SUCCESS        2            4            2.4        56.07            58.47        0.1        3
    77        SUCCESS        2            2            5.5        53.87            59.37        0.1        3
    66        SUCCESS        2            1            4.25        55.38            59.63        0.1        3
    108        SUCCESS        2            3            3.87        57.31            61.19        0.1        3
    144        SUCCESS        2            4            2.9        58.47            61.37        0.1        3
    149        SUCCESS        2            4            0.9        61.37            62.27        0.1        3
    82        SUCCESS        2            2            4.17        59.37            63.53        0.1        3
    113        SUCCESS        2            3            4.25        61.19            65.44        0.1        3
    154        SUCCESS        2            4            4        62.27            66.27        0.1        3
