# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    0        SUCCESS        2            0            0.01        0.1            0.11
    1        SUCCESS        2            1            0.25        0.1            0.35
    2        SUCCESS        2            2            0.36        0.1            0.46
    4        SUCCESS        2            4            0.47        0.1            0.57
    3        SUCCESS        2            3            0.47        0.1            0.57
    9        SUCCESS        2            4            0.9        0.57            1.47
    8        SUCCESS        2            3            1.01        0.57            1.58
    7        SUCCESS        2            2            1.23        0.46            1.69
    6        SUCCESS        2            1            1.5        0.35            1.85
    5        SUCCESS        2            0            2.5        0.11            2.6
    14        SUCCESS        2            4            1.4        1.47            2.87
    13        SUCCESS        2            3            1.62        1.58            3.2
    12        SUCCESS        2            2            2        1.69            3.69
    11        SUCCESS        2            1            2.75        1.85            4.6
    19        SUCCESS        2            4            1.9        2.87            4.77
    18        SUCCESS        2            3            2.25        3.2            5.46
    17        SUCCESS        2            2            2.83        3.69            6.52
    24        SUCCESS        2            4            2.4        4.77            7.17
    10        SUCCESS        2            0            5        2.6            7.6
    23        SUCCESS        2            3            2.87        5.46            8.33
    16        SUCCESS        2            1            4        4.6            8.6
    29        SUCCESS        2            4            2.9        7.17            10.07
    22        SUCCESS        2            2            3.67        6.52            10.19
    28        SUCCESS        2            3            3.5        8.33            11.83
    34        SUCCESS        2            4            3.4        10.07            13.47
    21        SUCCESS        2            1            5.25        8.6            13.85
    27        SUCCESS        2            2            4.5        10.19            14.69
    15        SUCCESS        2            0            7.5        7.6            15.1
    33        SUCCESS        2            3            4.12        11.83            15.95
    39        SUCCESS        2            4            3.9        13.47            17.37
    32        SUCCESS        2            2            5.33        14.69            20.02
    26        SUCCESS        2            1            6.5        13.85            20.35
    38        SUCCESS        2            3            4.75        15.95            20.7
    44        SUCCESS        2            4            4.4        17.37            21.77
    20        SUCCESS        2            0            10        15.1            25.1
    43        SUCCESS        2            3            5.38        20.7            26.08
    37        SUCCESS        2            2            6.17        20.02            26.19
    49        SUCCESS        2            4            4.9        21.77            26.67
    31        SUCCESS        2            1            7.75        20.35            28.1
    54        SUCCESS        2            4            5.4        26.67            32.07
