# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    0        SUCCESS        2            0            0.01        0.1            0.11
    1        SUCCESS        2            1            396        0.1            396.1
    2        SUCCESS        2            2            796        0.1            796.1
    3        SUCCESS        2            3            1196        0.1            1196.1
    4        SUCCESS        2            4            1596        0.1            1596.1
    5        SUCCESS        2            0            1993.56        0.1            1993.66
    6        SUCCESS        2            1            2393.52        0.1            2393.62
    7        SUCCESS        2            2            2793.55        0.1            2793.65
    8        SUCCESS        2            3            3193.54        0.1            3193.63
    9        SUCCESS        2            4            3593.54        0.1            3593.63
    10        SUCCESS        2            0            3988.51        0.1            3988.61
    11        SUCCESS        2            1            4388.57        0.1            4388.67
    12        SUCCESS        2            2            4788.5        0.1            4788.61
    13        SUCCESS        2            3            5188.56        0.1            5188.66
    14        SUCCESS        2            4            5588.54        0.1            5588.64
    15        SUCCESS        2            0            5981.02        0.1            5981.12
    16        SUCCESS        2            1            6381.1        0.1            6381.2
    17        SUCCESS        2            2            6781.08        0.1            6781.18
    18        SUCCESS        2            3            7181.03        0.1            7181.13
    19        SUCCESS        2            4            7581        0.1            7581.1
    20        SUCCESS        2            0            7971.04        0.1            7971.14
    21        SUCCESS        2            1            8371.04        0.1            8371.14
    22        SUCCESS        2            2            8771.04        0.1            8771.14
    23        SUCCESS        2            3            9171.02        0.1            9171.12
    24        SUCCESS        2            4            9571.02        0.1            9571.12
    25        SUCCESS        2            0            9958.57        0.1            9958.67
    26        SUCCESS        2            1            10358.58        0.1            10358.68
    27        SUCCESS        2            2            10758.6        0.1            10758.7
    28        SUCCESS        2            3            11158.54        0.1            11158.64
    29        SUCCESS        2            4            11558.52        0.1            11558.62
    30        SUCCESS        2            0            11943.61        0.1            11943.71
    31        SUCCESS        2            1            12343.53        0.1            12343.63
    32        SUCCESS        2            2            12743.56        0.1            12743.66
    33        SUCCESS        2            3            13143.59        0.1            13143.69
    34        SUCCESS        2            4            13543.52        0.1            13543.62
    35        SUCCESS        2            0            13926.03        0.1            13926.13
    36        SUCCESS        2            1            14326.11        0.1            14326.21
    37        SUCCESS        2            2            14726.02        0.1            14726.12
    38        SUCCESS        2            3            15126.02        0.1            15126.12
    39        SUCCESS        2            4            15526.09        0.1            15526.19
    40        SUCCESS        2            0            15906.08        0.1            15906.18
    41        SUCCESS        2            1            16306.04        0.1            16306.14
    42        SUCCESS        2            2            16706        0.1            16706.1
    43        SUCCESS        2            3            17106.08        0.1            17106.18
    44        SUCCESS        2            4            17506.04        0.1            17506.14
    45        SUCCESS        2            0            17883.6        0.1            17883.7
    46        SUCCESS        2            1            18283.54        0.1            18283.64
    47        SUCCESS        2            2            18683.58        0.1            18683.68
    48        SUCCESS        2            3            19083.56        0.1            19083.66
    49        SUCCESS        2            4            19483.54        0.1            19483.64
    50        SUCCESS        2            0            19858.58        0.1            19858.68
    51        SUCCESS        2            1            20258.55        0.1            20258.65
    52        SUCCESS        2            2            20658.51        0.1            20658.61
    53        SUCCESS        2            3            21058.54        0.1            21058.64
    54        SUCCESS        2            4            21458.54        0.1            21458.64
    55        SUCCESS        2            0            21831.06        0.1            21831.16
    56        SUCCESS        2            1            22231.03        0.1            22231.13
    57        SUCCESS        2            2            22631.12        0.1            22631.22
    58        SUCCESS        2            3            23031.11        0.1            23031.21
    59        SUCCESS        2            4            23431.04        0.1            23431.14
    60        SUCCESS        2            0            23801.02        0.1            23801.12
    61        SUCCESS        2            1            24201.03        0.1            24201.13
    62        SUCCESS        2            2            24601.02        0.1            24601.12
    63        SUCCESS        2            3            25001.12        0.1            25001.22
    64        SUCCESS        2            4            25401.2        0.1            25401.3
    65        SUCCESS        2            0            25768.57        0.1            25768.67
    66        SUCCESS        2            1            26168.52        0.1            26168.62
    67        SUCCESS        2            2            26568.6        0.1            26568.7
    68        SUCCESS        2            3            26968.53        0.1            26968.63
    69        SUCCESS        2            4            27368.7        0.1            27368.8
    70        SUCCESS        2            0            27733.53        0.1            27733.63
    71        SUCCESS        2            1            28133.52        0.1            28133.62
    72        SUCCESS        2            2            28533.51        0.1            28533.61
    73        SUCCESS        2            3            28933.59        0.1            28933.69
    74        SUCCESS        2            4            29333.57        0.1            29333.67
    75        SUCCESS        2            0            29696.11        0.1            29696.21
    76        SUCCESS        2            1            30096.01        0.1            30096.11
    77        SUCCESS        2            2            30496.02        0.1            30496.12
    78        SUCCESS        2            3            30896.08        0.1            30896.18
    79        SUCCESS        2            4            31296.07        0.1            31296.17
    80        SUCCESS        2            0            31656.08        0.1            31656.18
    81        SUCCESS        2            1            32056.02        0.1            32056.12
    82        SUCCESS        2            2            32456.07        0.1            32456.17
    83        SUCCESS        2            3            32856.02        0.1            32856.12
    84        SUCCESS        2            4            33256.07        0.1            33256.17
    85        SUCCESS        2            0            33613.66        0.1            33613.76
    86        SUCCESS        2            1            34013.57        0.1            34013.67
    87        SUCCESS        2            2            34413.52        0.1            34413.62
    88        SUCCESS        2            3            34813.62        0.1            34813.72
    89        SUCCESS        2            4            35213.67        0.1            35213.77
    90        SUCCESS        2            0            35568.55        0.1            35568.65
    91        SUCCESS        2            1            35968.56        0.1            35968.66
    92        SUCCESS        2            2            36368.56        0.1            36368.66
    93        SUCCESS        2            3            36768.6        0.1            36768.7
    94        SUCCESS        2            4            37168.55        0.1            37168.65
    95        SUCCESS        2            0            37521.11        0.1            37521.21
    96        SUCCESS        2            1            37921.09        0.1            37921.19
    97        SUCCESS        2            2            38321.02        0.1            38321.12
    98        SUCCESS        2            3            38721.01        0.1            38721.11
    99        SUCCESS        2            4            39121.02        0.1            39121.12
    100        SUCCESS        2            0            39471.04        0.1            39471.14
    101        SUCCESS        2            1            39871.17        0.1            39871.27
    102        SUCCESS        2            2            40271.06        0.1            40271.16
    103        SUCCESS        2            3            40671.02        0.1            40671.12
    104        SUCCESS        2            4            41071.17        0.1            41071.27
    105        SUCCESS        2            0            41418.6        0.1            41418.7
    106        SUCCESS        2            1            41818.51        0.1            41818.61
    107        SUCCESS        2            2            42218.59        0.1            42218.69
    108        SUCCESS        2            3            42618.63        0.1            42618.73
    109        SUCCESS        2            4            43018.67        0.1            43018.77
    110        SUCCESS        2            0            43363.52        0.1            43363.62
    111        SUCCESS        2            1            43763.71        0.1            43763.81
    112        SUCCESS        2            2            44163.6        0.1            44163.7
    113        SUCCESS        2            3            44563.65        0.1            44563.75
    114        SUCCESS        2            4            44963.64        0.1            44963.74
    115        SUCCESS        2            0            45306.04        0.1            45306.14
    116        SUCCESS        2            1            45706.06        0.1            45706.16
    117        SUCCESS        2            2            46106.11        0.1            46106.21
    118        SUCCESS        2            3            46506.08        0.1            46506.18
    119        SUCCESS        2            4            46906.14        0.1            46906.24
    120        SUCCESS        2            0            47246.02        0.1            47246.12
    121        SUCCESS        2            1            47646.14        0.1            47646.24
    122        SUCCESS        2            2            48046.09        0.1            48046.19
    123        SUCCESS        2            3            48446.05        0.1            48446.15
    124        SUCCESS        2            4            48846.14        0.1            48846.24
    125        SUCCESS        2            0            49183.65        0.1            49183.75
    126        SUCCESS        2            1            49583.56        0.1            49583.66
    127        SUCCESS        2            2            49983.54        0.1            49983.64
    128        SUCCESS        2            3            50383.54        0.1            50383.64
    129        SUCCESS        2            4            50783.64        0.1            50783.74
    130        SUCCESS        2            0            51118.68        0.1            51118.78
    131        SUCCESS        2            1            51518.6        0.1            51518.7
    132        SUCCESS        2            2            51918.57        0.1            51918.67
    133        SUCCESS        2            3            52318.52        0.1            52318.62
    134        SUCCESS        2            4            52718.51        0.1            52718.61
    135        SUCCESS        2            0            53051.03        0.1            53051.13
    136        SUCCESS        2            1            53451.16        0.1            53451.26
    137        SUCCESS        2            2            53851.08        0.1            53851.18
    138        SUCCESS        2            3            54251.04        0.1            54251.14
    139        SUCCESS        2            4            54651.14        0.1            54651.24
    140        SUCCESS        2            0            54981.1        0.1            54981.2
    141        SUCCESS        2            1            55381.2        0.1            55381.3
    142        SUCCESS        2            2            55781.04        0.1            55781.14
    143        SUCCESS        2            3            56181.06        0.1            56181.16
    144        SUCCESS        2            4            56581.14        0.1            56581.24
    145        SUCCESS        2            0            56908.6        0.1            56908.7
    146        SUCCESS        2            1            57308.54        0.1            57308.64
    147        SUCCESS        2            2            57708.54        0.1            57708.64
    148        SUCCESS        2            3            58108.63        0.1            58108.73
    149        SUCCESS        2            4            58508.64        0.1            58508.74
    150        SUCCESS        2            0            58833.62        0.1            58833.72
    151        SUCCESS        2            1            59233.6        0.1            59233.7
    152        SUCCESS        2            2            59633.62        0.1            59633.72
    153        SUCCESS        2            3            60033.55        0.1            60033.65
    154        SUCCESS        2            4            60433.64        0.1            60433.74
    155        SUCCESS        2            0            60756.1        0.1            60756.2
    156        SUCCESS        2            1            61156.08        0.1            61156.18
    157        SUCCESS        2            2            61556.07        0.1            61556.17
    158        SUCCESS        2            3            61956.05        0.1            61956.15
    159        SUCCESS        2            4            62356.14        0.1            62356.24
    160        SUCCESS        2            0            62676.02        0.1            62676.12
    161        SUCCESS        2            1            63076.08        0.1            63076.18
    162        SUCCESS        2            2            63476.1        0.1            63476.2
    163        SUCCESS        2            3            63876.05        0.1            63876.15
    164        SUCCESS        2            4            64276.14        0.1            64276.24
    165        SUCCESS        2            0            64593.61        0.1            64593.71
    166        SUCCESS        2            1            64993.72        0.1            64993.82
    167        SUCCESS        2            2            65393.52        0.1            65393.62
    168        SUCCESS        2            3            65793.61        0.1            65793.72
    169        SUCCESS        2            4            66193.64        0.1            66193.74
    170        SUCCESS        2            0            66508.61        0.1            66508.71
    171        SUCCESS        2            1            66908.54        0.1            66908.64
    172        SUCCESS        2            2            67308.6        0.1            67308.7
    173        SUCCESS        2            3            67708.52        0.1            67708.62
    174        SUCCESS        2            4            68108.64        0.1            68108.74
    175        SUCCESS        2            0            68421.11        0.1            68421.22
    176        SUCCESS        2            1            68821.11        0.1            68821.21
    177        SUCCESS        2            2            69221.11        0.1            69221.21
    178        SUCCESS        2            3            69621.05        0.1            69621.15
    179        SUCCESS        2            4            70021.14        0.1            70021.24
    180        SUCCESS        2            0            70331.14        0.1            70331.24
    181        SUCCESS        2            1            70731.06        0.1            70731.16
    182        SUCCESS        2            2            71131.09        0.1            71131.19
    183        SUCCESS        2            3            71531.05        0.1            71531.15
    184        SUCCESS        2            4            71931.14        0.1            71931.24
    185        SUCCESS        2            0            72238.65        0.1            72238.75
    186        SUCCESS        2            1            72638.58        0.1            72638.68
    187        SUCCESS        2            2            73038.63        0.1            73038.73
    188        SUCCESS        2            3            73438.56        0.1            73438.66
    189        SUCCESS        2            4            73838.58        0.1            73838.68
    190        SUCCESS        2            0            74143.54        0.1            74143.64
    191        SUCCESS        2            1            74543.59        0.1            74543.69
    192        SUCCESS        2            2            74943.64        0.1            74943.74
    193        SUCCESS        2            3            75343.53        0.1            75343.63
    194        SUCCESS        2            4            75743.58        0.1            75743.68
    195        SUCCESS        2            0            76046.25        0.1            76046.35
    196        SUCCESS        2            1            76446.07        0.1            76446.17
    197        SUCCESS        2            2            76846.05        0.1            76846.15
    198        SUCCESS        2            3            77246.03        0.1            77246.13
    199        SUCCESS        2            4            77646.07        0.1            77646.17
    200        SUCCESS        2            0            77946.07        0.1            77946.17
    201        SUCCESS        2            1            78346.02        0.1            78346.12
    202        SUCCESS        2            2            78746.12        0.1            78746.22
    203        SUCCESS        2            3            79146.1        0.1            79146.2
    204        SUCCESS        2            4            79546.24        0.1            79546.34
    205        SUCCESS        2            0            79843.55        0.1            79843.65
    206        SUCCESS        2            1            80243.52        0.1            80243.62
    207        SUCCESS        2            2            80643.58        0.1            80643.68
    208        SUCCESS        2            3            81043.52        0.1            81043.62
    209        SUCCESS        2            4            81443.72        0.1            81443.82
    210        SUCCESS        2            0            81738.58        0.1            81738.68
    211        SUCCESS        2            1            82138.61        0.1            82138.71
    212        SUCCESS        2            2            82538.59        0.1            82538.69
    213        SUCCESS        2            3            82938.55        0.1            82938.65
    214        SUCCESS        2            4            83338.72        0.1            83338.82
    215        SUCCESS        2            0            83631.15        0.1            83631.25
    216        SUCCESS        2            1            84031.05        0.1            84031.15
    217        SUCCESS        2            2            84431.03        0.1            84431.13
    218        SUCCESS        2            3            84831.12        0.1            84831.22
    219        SUCCESS        2            4            85231.22        0.1            85231.32
    220        SUCCESS        2            0            85521.14        0.1            85521.24
    221        SUCCESS        2            1            85921.21        0.1            85921.31
    222        SUCCESS        2            2            86321.11        0.1            86321.22
    223        SUCCESS        2            3            86721.14        0.1            86721.25
    224        SUCCESS        2            4            87121.2        0.1            87121.3
    225        SUCCESS        2            0            87408.72        0.1            87408.82
    226        SUCCESS        2            1            87808.65        0.1            87808.75
    227        SUCCESS        2            2            88208.52        0.1            88208.62
    228        SUCCESS        2            3            88608.55        0.1            88608.65
    229        SUCCESS        2            4            89008.7        0.1            89008.8
    230        SUCCESS        2            0            89293.64        0.1            89293.74
    231        SUCCESS        2            1            89693.57        0.1            89693.67
    232        SUCCESS        2            2            90093.63        0.1            90093.73
    233        SUCCESS        2            3            90493.57        0.1            90493.67
    234        SUCCESS        2            4            90893.7        0.1            90893.8
    235        SUCCESS        2            0            91176.07        0.1            91176.17
    236        SUCCESS        2            1            91576.14        0.1            91576.24
    237        SUCCESS        2            2            91976.07        0.1            91976.17
    238        SUCCESS        2            3            92376.1        0.1            92376.2
    239        SUCCESS        2            4            92776.2        0.1            92776.3
    240        SUCCESS        2            0            93056.08        0.1            93056.18
    241        SUCCESS        2            1            93456.05        0.1            93456.15
    242        SUCCESS        2            2            93856.06        0.1            93856.16
    243        SUCCESS        2            3            94256.07        0.1            94256.17
    244        SUCCESS        2            4            94656.2        0.1            94656.3
    245        SUCCESS        2            0            94933.58        0.1            94933.68
    246        SUCCESS        2            1            95333.54        0.1            95333.64
    247        SUCCESS        2            2            95733.6        0.1            95733.7
    248        SUCCESS        2            3            96133.73        0.1            96133.83
    249        SUCCESS        2            4            96533.52        0.1            96533.62
    250        SUCCESS        2            0            96808.53        0.1            96808.64
    251        SUCCESS        2            1            97208.7        0.1            97208.8
    252        SUCCESS        2            2            97608.69        0.1            97608.79
    253        SUCCESS        2            3            98008.53        0.1            98008.64
    254        SUCCESS        2            4            98408.7        0.1            98408.8
    255        SUCCESS        2            0            98681.1        0.1            98681.2
    256        SUCCESS        2            1            99081.1        0.1            99081.2
    257        SUCCESS        2            2            99481.21        0.1            99481.31
    258        SUCCESS        2            3            99881.11        0.1            99881.21
    259        SUCCESS        2            4            100281.16        0.1            100281.26
    260        SUCCESS        2            0            100551.1        0.1            100551.2
    261        SUCCESS        2            1            100951.05        0.1            100951.15
    262        SUCCESS        2            2            101351.06        0.1            101351.16
    263        SUCCESS        2            3            101751.13        0.1            101751.23
    264        SUCCESS        2            4            102151.16        0.1            102151.26
    265        SUCCESS        2            0            102418.57        0.1            102418.67
    266        SUCCESS        2            1            102818.65        0.1            102818.75
    267        SUCCESS        2            2            103218.57        0.1            103218.67
    268        SUCCESS        2            3            103618.58        0.1            103618.68
    269        SUCCESS        2            4            104018.66        0.1            104018.76
    270        SUCCESS        2            0            104283.64        0.1            104283.74
    271        SUCCESS        2            1            104683.61        0.1            104683.71
