# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    3        SUCCESS        2            3            0.12        0.1            0.22
    4        SUCCESS        2            4            1.5        0.1            1.6
    1        SUCCESS        2            1            2.75        0.1            2.85
    9        SUCCESS        2            4            1.4        1.6            3
    8        SUCCESS        2            3            4.5        0.22            4.72
    2        SUCCESS        2            2            5.67        0.1            5.77
    14        SUCCESS        2            4            3.5        3            6.5
    7        SUCCESS        2            2            1.67        5.77            7.43
    6        SUCCESS        2            1            5.75        2.85            8.6
    19        SUCCESS        2            4            2.7        6.5            9.2
    13        SUCCESS        2            3            5        4.72            9.72
    0        SUCCESS        2            0            10        0.1            10.1
    24        SUCCESS        2            4            1.2        9.2            10.4
    18        SUCCESS        2            3            1.12        9.72            10.85
    12        SUCCESS        2            2            3.53        7.43            10.96
    29        SUCCESS        2            4            1.4        10.4            11.8
    34        SUCCESS        2            4            1        11.8            12.8
    17        SUCCESS        2            2            2.17        10.96            13.13
    23        SUCCESS        2            3            2.62        10.85            13.47
    28        SUCCESS        2            3            0.38        13.47            13.85
    33        SUCCESS        2            3            0.38        13.85            14.22
    5        SUCCESS        2            0            4.5        10.1            14.6
    39        SUCCESS        2            4            2.2        12.8            15
    11        SUCCESS        2            1            7.75        8.6            16.35
    16        SUCCESS        2            1            0.5        16.35            16.85
    22        SUCCESS        2            2            4.67        13.13            17.79
    44        SUCCESS        2            4            3.7        15            18.7
    38        SUCCESS        2            3            4.87        14.22            19.1
    27        SUCCESS        2            2            1.42        17.79            19.21
    49        SUCCESS        2            4            0.9        18.7            19.6
    54        SUCCESS        2            4            0.3        19.6            19.9
    32        SUCCESS        2            2            1.33        19.21            20.54
    37        SUCCESS        2            2            2        20.54            22.54
    43        SUCCESS        2            3            3.62        19.1            22.72
    59        SUCCESS        2            4            3.3        19.9            23.2
    10        SUCCESS        2            0            9.5        14.6            24.1
    21        SUCCESS        2            1            8.25        16.85            25.09
    42        SUCCESS        2            2            3.33        22.54            25.87
    48        SUCCESS        2            3            3.75        22.72            26.47
    64        SUCCESS        2            4            3.9        23.2            27.1
    26        SUCCESS        2            1            3.5        25.09            28.59
    47        SUCCESS        2            2            2.83        25.87            28.71
    15        SUCCESS        2            0            5        24.1            29.1
    53        SUCCESS        2            3            3.25        26.47            29.72
    69        SUCCESS        2            4            3.3        27.1            30.4
    58        SUCCESS        2            3            2.12        29.72            31.85
    31        SUCCESS        2            1            3.75        28.59            32.34
    74        SUCCESS        2            4            2.8        30.4            33.2
    52        SUCCESS        2            2            5.33        28.71            34.04
    79        SUCCESS        2            4            1.5        33.2            34.69
    84        SUCCESS        2            4            0.9        34.69            35.59
    63        SUCCESS        2            3            4        31.85            35.84
    68        SUCCESS        2            3            1        35.84            36.84
    89        SUCCESS        2            4            2.3        35.59            37.89
    36        SUCCESS        2            1            6        32.34            38.34
    94        SUCCESS        2            4            0.8        37.89            38.69
    99        SUCCESS        2            4            0.6        38.69            39.29
    41        SUCCESS        2            1            1.5        38.34            39.84
    57        SUCCESS        2            2            5.91        34.04            39.95
    104        SUCCESS        2            4            1.3        39.29            40.59
    62        SUCCESS        2            2            1        39.95            40.95
    73        SUCCESS        2            3            4.87        36.84            41.72
    20        SUCCESS        2            0            13.5        29.1            42.59
    109        SUCCESS        2            4            3.3        40.59            43.89
    78        SUCCESS        2            3            3.75        41.72            45.47
    67        SUCCESS        2            2            5        40.95            45.95
    46        SUCCESS        2            1            7        39.84            46.84
    114        SUCCESS        2            4            3.7        43.89            47.59
    119        SUCCESS        2            4            0.11        47.59            47.7
    83        SUCCESS        2            3            3        45.47            48.47
    72        SUCCESS        2            2            2.67        45.95            48.62
    51        SUCCESS        2            1            2        46.84            48.84
    124        SUCCESS        2            4            1.7        47.7            49.4
    129        SUCCESS        2            4            0.4        49.4            49.8
    134        SUCCESS        2            4            1.9        49.8            51.7
    139        SUCCESS        2            4            0.8        51.7            52.5
    56        SUCCESS        2            1            3.77        48.84            52.61
    88        SUCCESS        2            3            4.25        48.47            52.72
    93        SUCCESS        2            3            0.62        52.72            53.35
    144        SUCCESS        2            4            1.1        52.5            53.6
    77        SUCCESS        2            2            5.17        48.62            53.78
    82        SUCCESS        2            2            2.33        53.78            56.12
    149        SUCCESS        2            4            3.4        53.6            57
    98        SUCCESS        2            3            4.12        53.35            57.47
    61        SUCCESS        2            1            5.25        52.61            57.86
    154        SUCCESS        2            4            1.1        57            58.1
    87        SUCCESS        2            2            3.5        56.12            59.62
    159        SUCCESS        2            4            2.1        58.1            60.2
    92        SUCCESS        2            2            0.83        59.62            60.45
    103        SUCCESS        2            3            3.09        57.47            60.56
    108        SUCCESS        2            3            1        60.56            61.56
    25        SUCCESS        2            0            19.07        42.59            61.67
    164        SUCCESS        2            4            1.9        60.2            62.1
    66        SUCCESS        2            1            4.35        57.86            62.21
    71        SUCCESS        2            1            0.25        62.21            62.46
    76        SUCCESS        2            1            0.75        62.46            63.21
    97        SUCCESS        2            2            3.5        60.45            63.95
    113        SUCCESS        2            3            3        61.56            64.56
    30        SUCCESS        2            0            3        61.67            64.67
    81        SUCCESS        2            1            1.75        63.21            64.96
    169        SUCCESS        2            4            3.8        62.1            65.9
    118        SUCCESS        2            3            1.75        64.56            66.31
    102        SUCCESS        2            2            3        63.95            66.95
    174        SUCCESS        2            4            1.8        65.9            67.7
    107        SUCCESS        2            2            1.83        66.95            68.78
    179        SUCCESS        2            4            1.19        67.7            68.89
    123        SUCCESS        2            3            3.75        66.31            70.06
    184        SUCCESS        2            4            2        68.89            70.89
    112        SUCCESS        2            2            3.83        68.78            72.61
    128        SUCCESS        2            3            3.12        70.06            73.18
    117        SUCCESS        2            2            1        72.61            73.61
    86        SUCCESS        2            1            9        64.96            73.96
    133        SUCCESS        2            3            1.25        73.18            74.43
    189        SUCCESS        2            4            3.8        70.89            74.69
    35        SUCCESS        2            0            10.5        64.67            75.16
    194        SUCCESS        2            4            2.4        74.69            77.09
    40        SUCCESS        2            0            2.5        75.16            77.66
    138        SUCCESS        2            3            3.75        74.43            78.18
    122        SUCCESS        2            2            4.83        73.61            78.44
    199        SUCCESS        2            4            1.6        77.09            78.69
    204        SUCCESS        2            4            1.6        78.69            80.29
    209        SUCCESS        2            4            0.7        80.29            80.99
    91        SUCCESS        2            1            8.25        73.96            82.21
    143        SUCCESS        2            3            4.87        78.18            83.06
    214        SUCCESS        2            4            2.7        80.99            83.69
    219        SUCCESS        2            4            0.4        83.69            84.09
