# ========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    0        SUCCESS        2            0            1        0.1            1.1
    1        SUCCESS        2            1            1        0.1            1.1
    2        SUCCESS        2            2            1        0.1            1.1
    4        SUCCESS        2            4            1        0.1            1.1
    3        SUCCESS        2            3            1        0.1            1.1
    5        SUCCESS        2            0            1        1.1            2.1
    6        SUCCESS        2            1            1        1.1            2.1
    7        SUCCESS        2            2            1        1.1            2.1
    9        SUCCESS        2            4            1        1.1            2.1
    8        SUCCESS        2            3            1        1.1            2.1
    10        SUCCESS        2            0            1        2.1            3.1
    11        SUCCESS        2            1            1        2.1            3.1
    12        SUCCESS        2            2            1        2.1            3.1
    14        SUCCESS        2            4            1        2.1            3.1
    13        SUCCESS        2            3            1        2.1            3.1
    15        SUCCESS        2            0            1        3.1            4.1
    16        SUCCESS        2            1            1        3.1            4.1
    17        SUCCESS        2            2            1        3.1            4.1
    19        SUCCESS        2            4            1        3.1            4.1
    18        SUCCESS        2            3            1        3.1            4.1
    20        SUCCESS        2            0            1        4.1            5.1
    21        SUCCESS        2            1            1        4.1            5.1
    22        SUCCESS        2            2            1        4.1            5.1
    24        SUCCESS        2            4            1        4.1            5.1
    23        SUCCESS        2            3            1        4.1            5.1
    25        SUCCESS        2            0            1        5.1            6.1
    26        SUCCESS        2            1            1        5.1            6.1
    27        SUCCESS        2            2            1        5.1            6.1
    29        SUCCESS        2            4            1        5.1            6.1
    28        SUCCESS        2            3            1        5.1            6.1
    30        SUCCESS        2            0            1        6.1            7.1
    31        SUCCESS        2            1            1        6.1            7.1
    32        SUCCESS        2            2            1        6.1            7.1
    34        SUCCESS        2            4            1        6.1            7.1
    33        SUCCESS        2            3            1        6.1            7.1
    35        SUCCESS        2            0            1        7.1            8.1
    36        SUCCESS        2            1            1        7.1            8.1
    37        SUCCESS        2            2            1        7.1            8.1
    39        SUCCESS        2            4            1        7.1            8.1
    38        SUCCESS        2            3            1        7.1            8.1
    40        SUCCESS        2            0            1        8.1            9.1
    41        SUCCESS        2            1            1        8.1            9.1
    42        SUCCESS        2            2            1        8.1            9.1
    44        SUCCESS        2            4            1        8.1            9.1
    43        SUCCESS        2            3            1        8.1            9.1
    45        SUCCESS        2            0            1        9.1            10.1
    46        SUCCESS        2            1            1        9.1            10.1
    47        SUCCESS        2            2            1        9.1            10.1
    49        SUCCESS        2            4            1        9.1            10.1
    48        SUCCESS        2            3            1        9.1            10.1
    50        SUCCESS        2            0            1        10.1            11.1
    51        SUCCESS        2            1            1        10.1            11.1
    52        SUCCESS        2            2            1        10.1            11.1
    54        SUCCESS        2            4            1        10.1            11.1
    53        SUCCESS        2            3            1        10.1            11.1
    55        SUCCESS        2            0            1        11.1            12.1
    56        SUCCESS        2            1            1        11.1            12.1
    57        SUCCESS        2            2            1        11.1            12.1
    59        SUCCESS        2            4            1        11.1            12.1
    58        SUCCESS        2            3            1        11.1            12.1
    60        SUCCESS        2            0            1        12.1            13.1
    61        SUCCESS        2            1            1        12.1            13.1
    62        SUCCESS        2            2            1        12.1            13.1
    64        SUCCESS        2            4            1        12.1            13.1
    63        SUCCESS        2            3            1        12.1            13.1
