# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    55        SUCCESS        2            0            396.5        0.1            396.6
    210        SUCCESS        2            0            396.5        0.1            396.6
    345        SUCCESS        2            0            396.5        0.1            396.6
    525        SUCCESS        2            0            396.5        0.1            396.6
    620        SUCCESS        2            0            396.5        0.1            396.6
    890        SUCCESS        2            0            396.5        0.1            396.6
    1075        SUCCESS        2            0            396.5        0.1            396.6
    1095        SUCCESS        2            0            396.5        0.1            396.6
    1340        SUCCESS        2            0            396.5        0.1            396.6
    1640        SUCCESS        2            0            396.5        0.1            396.6
    2280        SUCCESS        2            0            396.5        0.1            396.6
    2900        SUCCESS        2            0            396.5        0.1            396.6
    2915        SUCCESS        2            0            396.5        0.1            396.6
    3415        SUCCESS        2            0            396.5        0.1            396.6
    3595        SUCCESS        2            0            396.5        0.1            396.6
    3860        SUCCESS        2            0            396.5        0.1            396.6
    3980        SUCCESS        2            0            396.5        0.1            396.6
    281        SUCCESS        2            1            396.5        0.1            396.6
    651        SUCCESS        2            1            396.5        0.1            396.6
    791        SUCCESS        2            1            396.5        0.1            396.6
    916        SUCCESS        2            1            396.5        0.1            396.6
    1106        SUCCESS        2            1            396.5        0.1            396.6
    1116        SUCCESS        2            1            396.5        0.1            396.6
    1126        SUCCESS        2            1            396.5        0.1            396.6
    1311        SUCCESS        2            1            396.5        0.1            396.6
    1881        SUCCESS        2            1            396.5        0.1            396.6
    1911        SUCCESS        2            1            396.5        0.1            396.6
    1931        SUCCESS        2            1            396.5        0.1            396.6
    2341        SUCCESS        2            1            396.5        0.1            396.6
    2636        SUCCESS        2            1            396.5        0.1            396.6
    2831        SUCCESS        2            1            396.5        0.1            396.6
    2946        SUCCESS        2            1            396.5        0.1            396.6
    3201        SUCCESS        2            1            396.5        0.1            396.6
    3691        SUCCESS        2            1            396.5        0.1            396.6
    3996        SUCCESS        2            1            396.5        0.1            396.6
    447        SUCCESS        2            2            396.5        0.1            396.6
    557        SUCCESS        2            2            396.5        0.1            396.6
    722        SUCCESS        2            2            396.5        0.1            396.6
    777        SUCCESS        2            2            396.5        0.1            396.6
    917        SUCCESS        2            2            396.5        0.1            396.6
    1457        SUCCESS        2            2            396.5        0.1            396.6
    1727        SUCCESS        2            2            396.5        0.1            396.6
    1867        SUCCESS        2            2            396.5        0.1            396.6
    2077        SUCCESS        2            2            396.5        0.1            396.6
    2267        SUCCESS        2            2            396.5        0.1            396.6
    2282        SUCCESS        2            2            396.5        0.1            396.6
    2387        SUCCESS        2            2            396.5        0.1            396.6
    2412        SUCCESS        2            2            396.5        0.1            396.6
    2467        SUCCESS        2            2            396.5        0.1            396.6
    2487        SUCCESS        2            2            396.5        0.1            396.6
    2667        SUCCESS        2            2            396.5        0.1            396.6
    3067        SUCCESS        2            2            396.5        0.1            396.6
    3102        SUCCESS        2            2            396.5        0.1            396.6
    3192        SUCCESS        2            2            396.5        0.1            396.6
