# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    14        SUCCESS        2            4            0.11        0.1            0.21
    89        SUCCESS        2            4            0.11        0.1            0.21
    184        SUCCESS        2            4            0.11        0.1            0.21
    219        SUCCESS        2            4            0.11        0.1            0.21
    644        SUCCESS        2            4            0.11        0.1            0.21
    729        SUCCESS        2            4            0.11        0.1            0.21
    784        SUCCESS        2            4            0.11        0.1            0.21
    969        SUCCESS        2            4            0.11        0.1            0.21
    1589        SUCCESS        2            4            0.11        0.1            0.21
    2049        SUCCESS        2            4            0.11        0.1            0.21
    2424        SUCCESS        2            4            0.11        0.1            0.21
    2479        SUCCESS        2            4            0.11        0.1            0.21
    2689        SUCCESS        2            4            0.11        0.1            0.21
    2899        SUCCESS        2            4            0.11        0.1            0.21
    2994        SUCCESS        2            4            0.11        0.1            0.21
    3154        SUCCESS        2            4            0.11        0.1            0.21
    3759        SUCCESS        2            4            0.11        0.1            0.21
    367        SUCCESS        2            2            0.22        0.1            0.32
    437        SUCCESS        2            2            0.22        0.1            0.32
    577        SUCCESS        2            2            0.22        0.1            0.32
    782        SUCCESS        2            2            0.22        0.1            0.32
    917        SUCCESS        2            2            0.22        0.1            0.32
    1432        SUCCESS        2            2            0.22        0.1            0.32
    1542        SUCCESS        2            2            0.22        0.1            0.32
    1672        SUCCESS        2            2            0.22        0.1            0.32
    1762        SUCCESS        2            2            0.22        0.1            0.32
    2052        SUCCESS        2            2            0.22        0.1            0.32
    2057        SUCCESS        2            2            0.22        0.1            0.32
    2212        SUCCESS        2            2            0.22        0.1            0.32
    2232        SUCCESS        2            2            0.22        0.1            0.32
    2267        SUCCESS        2            2            0.22        0.1            0.32
    2487        SUCCESS        2            2            0.22        0.1            0.32
    2512        SUCCESS        2            2            0.22        0.1            0.32
    2857        SUCCESS        2            2            0.22        0.1            0.32
    2862        SUCCESS        2            2            0.22        0.1            0.32
    3142        SUCCESS        2            2            0.22        0.1            0.32
    3612        SUCCESS        2            2            0.22        0.1            0.32
    3622        SUCCESS        2            2            0.22        0.1            0.32
    3637        SUCCESS        2            2            0.22        0.1            0.32
    3837        SUCCESS        2            2            0.22        0.1            0.32
    3897        SUCCESS        2            2            0.22        0.1            0.32
    24        SUCCESS        2            4            0.22        0.1            0.32
    194        SUCCESS        2            4            0.22        0.1            0.32
    284        SUCCESS        2            4            0.22        0.1            0.32
    639        SUCCESS        2            4            0.22        0.1            0.32
    739        SUCCESS        2            4            0.22        0.1            0.32
    1094        SUCCESS        2            4            0.22        0.1            0.32
    1274        SUCCESS        2            4            0.22        0.1            0.32
    1374        SUCCESS        2            4            0.22        0.1            0.32
    1564        SUCCESS        2            4            0.22        0.1            0.32
    1594        SUCCESS        2            4            0.22        0.1            0.32
    2844        SUCCESS        2            4            0.22        0.1            0.32
    2974        SUCCESS        2            4            0.22        0.1            0.32
    3004        SUCCESS        2            4            0.22        0.1            0.32
    3204        SUCCESS        2            4            0.22        0.1            0.32
    3364        SUCCESS        2            4            0.22        0.1            0.32
    3369        SUCCESS        2            4            0.22        0.1            0.32
    3694        SUCCESS        2            4            0.22        0.1            0.32
    3864        SUCCESS        2            4            0.22        0.1            0.32
    3899        SUCCESS        2            4            0.22        0.1            0.32
    3        SUCCESS        2            3            0.22        0.1            0.32
    38        SUCCESS        2            3            0.22        0.1            0.32
    158        SUCCESS        2            3            0.22        0.1            0.32
    498        SUCCESS        2            3            0.22        0.1            0.32
    518        SUCCESS        2            3            0.22        0.1            0.32
    563        SUCCESS        2            3            0.22        0.1            0.32
    768        SUCCESS        2            3            0.22        0.1            0.32
    968        SUCCESS        2            3            0.22        0.1            0.32
    1253        SUCCESS        2            3            0.22        0.1            0.32
    1478        SUCCESS        2            3            0.22        0.1            0.32
    1613        SUCCESS        2            3            0.22        0.1            0.32
    1983        SUCCESS        2            3            0.22        0.1            0.32
    2138        SUCCESS        2            3            0.22        0.1            0.32
    2303        SUCCESS        2            3            0.22        0.1            0.32
    2573        SUCCESS        2            3            0.22        0.1            0.32
    3158        SUCCESS        2            3            0.22        0.1            0.32
    3188        SUCCESS        2            3            0.22        0.1            0.32
    3193        SUCCESS        2            3            0.22        0.1            0.32
    3308        SUCCESS        2            3            0.22        0.1            0.32
    3363        SUCCESS        2            3            0.22        0.1            0.32
    3638        SUCCESS        2            3            0.22        0.1            0.32
    3988        SUCCESS        2            3            0.22        0.1            0.32
    121        SUCCESS        2            1            0.33        0.1            0.43
    186        SUCCESS        2            1            0.33        0.1            0.43
    656        SUCCESS        2            1            0.33        0.1            0.43
    781        SUCCESS        2            1            0.33        0.1            0.43
    991        SUCCESS        2            1            0.33        0.1            0.43
    1076        SUCCESS        2            1            0.33        0.1            0.43
    1081        SUCCESS        2            1            0.33        0.1            0.43
    1116        SUCCESS        2            1            0.33        0.1            0.43
    1341        SUCCESS        2            1            0.33        0.1            0.43
    1736        SUCCESS        2            1            0.33        0.1            0.43
    1881        SUCCESS        2            1            0.33        0.1            0.43
    1921        SUCCESS        2            1            0.33        0.1            0.43
    2301        SUCCESS        2            1            0.33        0.1            0.43
    2306        SUCCESS        2            1            0.33        0.1            0.43
    2796        SUCCESS        2            1            0.33        0.1            0.43
    2911        SUCCESS        2            1            0.33        0.1            0.43
    3156        SUCCESS        2            1            0.33        0.1            0.43
    3401        SUCCESS        2            1            0.33        0.1            0.43
    3551        SUCCESS        2            1            0.33        0.1            0.43
    3571        SUCCESS        2            1            0.33        0.1            0.43
    3726        SUCCESS        2            1            0.33        0.1            0.43
    3791        SUCCESS        2            1            0.33        0.1            0.43
    3941        SUCCESS        2            1            0.33        0.1            0.43
    29        SUCCESS        2            4            0.33        0.1            0.43
    144        SUCCESS        2            4            0.33        0.1            0.43
    319        SUCCESS        2            4            0.33        0.1            0.43
    329        SUCCESS        2            4            0.33        0.1            0.43
    494        SUCCESS        2            4            0.33        0.1            0.43
    774        SUCCESS        2            4            0.33        0.1            0.43
    869        SUCCESS        2            4            0.33        0.1            0.43
    1159        SUCCESS        2            4            0.33        0.1            0.43
    1694        SUCCESS        2            4            0.33        0.1            0.43
    2279        SUCCESS        2            4            0.33        0.1            0.43
    2519        SUCCESS        2            4            0.33        0.1            0.43
    2929        SUCCESS        2            4            0.33        0.1            0.43
    3624        SUCCESS        2            4            0.33        0.1            0.43
    3654        SUCCESS        2            4            0.33        0.1            0.43
    3874        SUCCESS        2            4            0.33        0.1            0.43
    3969        SUCCESS        2            4            0.33        0.1            0.43
    113        SUCCESS        2            3            0.33        0.1            0.43
    143        SUCCESS        2            3            0.33        0.1            0.43
    648        SUCCESS        2            3            0.33        0.1            0.43
    1243        SUCCESS        2            3            0.33        0.1            0.43
    1358        SUCCESS        2            3            0.33        0.1            0.43
    1523        SUCCESS        2            3            0.33        0.1            0.43
    1543        SUCCESS        2            3            0.33        0.1            0.43
    1728        SUCCESS        2            3            0.33        0.1            0.43
    1958        SUCCESS        2            3            0.33        0.1            0.43
    2083        SUCCESS        2            3            0.33        0.1            0.43
    2188        SUCCESS        2            3            0.33        0.1            0.43
    2288        SUCCESS        2            3            0.33        0.1            0.43
    2408        SUCCESS        2            3            0.33        0.1            0.43
    2703        SUCCESS        2            3            0.33        0.1            0.43
    2993        SUCCESS        2            3            0.33        0.1            0.43
    3003        SUCCESS        2            3            0.33        0.1            0.43
    3063        SUCCESS        2            3            0.33        0.1            0.43
    3343        SUCCESS        2            3            0.33        0.1            0.43
    3528        SUCCESS        2            3            0.33        0.1            0.43
    3553        SUCCESS        2            3            0.33        0.1            0.43
    3693        SUCCESS        2            3            0.33        0.1            0.43
    3848        SUCCESS        2            3            0.33        0.1            0.43
    3888        SUCCESS        2            3            0.33        0.1            0.43
    247        SUCCESS        2            2            0.43        0.1            0.53
    402        SUCCESS        2            2            0.43        0.1            0.53
    1147        SUCCESS        2            2            0.43        0.1            0.53
    1922        SUCCESS        2            2            0.43        0.1            0.53
    1972        SUCCESS        2            2            0.43        0.1            0.53
    2082        SUCCESS        2            2            0.43        0.1            0.53
    2277        SUCCESS        2            2            0.43        0.1            0.53
    2292        SUCCESS        2            2            0.43        0.1            0.53
    2482        SUCCESS        2            2            0.43        0.1            0.53
    2637        SUCCESS        2            2            0.43        0.1            0.53
    2722        SUCCESS        2            2            0.43        0.1            0.53
    2822        SUCCESS        2            2            0.43        0.1            0.53
    2877        SUCCESS        2            2            0.43        0.1            0.53
    2957        SUCCESS        2            2            0.43        0.1            0.53
    3032        SUCCESS        2            2            0.43        0.1            0.53
    3137        SUCCESS        2            2            0.43        0.1            0.53
    3757        SUCCESS        2            2            0.43        0.1            0.53
    79        SUCCESS        2            4            0.43        0.1            0.53
    289        SUCCESS        2            4            0.43        0.1            0.53
    584        SUCCESS        2            4            0.43        0.1            0.53
    754        SUCCESS        2            4            0.43        0.1            0.53
    809        SUCCESS        2            4            0.43        0.1            0.53
    1069        SUCCESS        2            4            0.43        0.1            0.53
    1644        SUCCESS        2            4            0.43        0.1            0.53
    1829        SUCCESS        2            4            0.43        0.1            0.53
    1834        SUCCESS        2            4            0.43        0.1            0.53
    2184        SUCCESS        2            4            0.43        0.1            0.53
    2249        SUCCESS        2            4            0.43        0.1            0.53
    2539        SUCCESS        2            4            0.43        0.1            0.53
    2869        SUCCESS        2            4            0.43        0.1            0.53
    3104        SUCCESS        2            4            0.43        0.1            0.53
    3229        SUCCESS        2            4            0.43        0.1            0.53
    3429        SUCCESS        2            4            0.43        0.1            0.53
    3494        SUCCESS        2            4            0.43        0.1            0.53
    3539        SUCCESS        2            4            0.43        0.1            0.53
    3689        SUCCESS        2            4            0.43        0.1            0.53
    3699        SUCCESS        2            4            0.43        0.1            0.53
    3704        SUCCESS        2            4            0.43        0.1            0.53
    3714        SUCCESS        2            4            0.43        0.1            0.53
    23        SUCCESS        2            3            0.43        0.1            0.53
    318        SUCCESS        2            3            0.43        0.1            0.53
    608        SUCCESS        2            3            0.43        0.1            0.53
    848        SUCCESS        2            3            0.43        0.1            0.53
    998        SUCCESS        2            3            0.43        0.1            0.53
    1123        SUCCESS        2            3            0.43        0.1            0.53
    1938        SUCCESS        2            3            0.43        0.1            0.53
    2568        SUCCESS        2            3            0.43        0.1            0.53
    2773        SUCCESS        2            3            0.43        0.1            0.53
    3168        SUCCESS        2            3            0.43        0.1            0.53
    3518        SUCCESS        2            3            0.43        0.1            0.53
    3678        SUCCESS        2            3            0.43        0.1            0.53
    3758        SUCCESS        2            3            0.43        0.1            0.53
    3878        SUCCESS        2            3            0.43        0.1            0.53
    40        SUCCESS        2            0            0.54        0.1            0.64
    115        SUCCESS        2            0            0.54        0.1            0.64
    335        SUCCESS        2            0            0.54        0.1            0.64
    1160        SUCCESS        2            0            0.54        0.1            0.64
    1280        SUCCESS        2            0            0.54        0.1            0.64
    3030        SUCCESS        2            0            0.54        0.1            0.64
    3240        SUCCESS        2            0            0.54        0.1            0.64
    3515        SUCCESS        2            0            0.54        0.1            0.64
    3705        SUCCESS        2            0            0.54        0.1            0.64
    3930        SUCCESS        2            0            0.54        0.1            0.64
    1        SUCCESS        2            1            0.54        0.1            0.64
    296        SUCCESS        2            1            0.54        0.1            0.64
    406        SUCCESS        2            1            0.54        0.1            0.64
    461        SUCCESS        2            1            0.54        0.1            0.64
    671        SUCCESS        2            1            0.54        0.1            0.64
    776        SUCCESS        2            1            0.54        0.1            0.64
    796        SUCCESS        2            1            0.54        0.1            0.64
    956        SUCCESS        2            1            0.54        0.1            0.64
    1031        SUCCESS        2            1            0.54        0.1            0.64
    1301        SUCCESS        2            1            0.54        0.1            0.64
    1391        SUCCESS        2            1            0.54        0.1            0.64
    1691        SUCCESS        2            1            0.54        0.1            0.64
    1761        SUCCESS        2            1            0.54        0.1            0.64
    2001        SUCCESS        2            1            0.54        0.1            0.64
    2111        SUCCESS        2            1            0.54        0.1            0.64
    2211        SUCCESS        2            1            0.54        0.1            0.64
    2366        SUCCESS        2            1            0.54        0.1            0.64
    2371        SUCCESS        2            1            0.54        0.1            0.64
    2501        SUCCESS        2            1            0.54        0.1            0.64
    2601        SUCCESS        2            1            0.54        0.1            0.64
    2921        SUCCESS        2            1            0.54        0.1            0.64
    3031        SUCCESS        2            1            0.54        0.1            0.64
    3096        SUCCESS        2            1            0.54        0.1            0.64
    3236        SUCCESS        2            1            0.54        0.1            0.64
    3351        SUCCESS        2            1            0.54        0.1            0.64
    3366        SUCCESS        2            1            0.54        0.1            0.64
    3416        SUCCESS        2            1            0.54        0.1            0.64
    3546        SUCCESS        2            1            0.54        0.1            0.64
    3761        SUCCESS        2            1            0.54        0.1            0.64
    3976        SUCCESS        2            1            0.54        0.1            0.64
    212        SUCCESS        2            2            0.54        0.1            0.64
    342        SUCCESS        2            2            0.54        0.1            0.64
    412        SUCCESS        2            2            0.54        0.1            0.64
    857        SUCCESS        2            2            0.54        0.1            0.64
    1052        SUCCESS        2            2            0.54        0.1            0.64
    1652        SUCCESS        2            2            0.54        0.1            0.64
    1687        SUCCESS        2            2            0.54        0.1            0.64
    2322        SUCCESS        2            2            0.54        0.1            0.64
    2327        SUCCESS        2            2            0.54        0.1            0.64
    2532        SUCCESS        2            2            0.54        0.1            0.64
    2547        SUCCESS        2            2            0.54        0.1            0.64
    2612        SUCCESS        2            2            0.54        0.1            0.64
    2642        SUCCESS        2            2            0.54        0.1            0.64
    2917        SUCCESS        2            2            0.54        0.1            0.64
    3367        SUCCESS        2            2            0.54        0.1            0.64
    3432        SUCCESS        2            2            0.54        0.1            0.64
    274        SUCCESS        2            4            0.54        0.1            0.64
    384        SUCCESS        2            4            0.54        0.1            0.64
    629        SUCCESS        2            4            0.54        0.1            0.64
    834        SUCCESS        2            4            0.54        0.1            0.64
    904        SUCCESS        2            4            0.54        0.1            0.64
    954        SUCCESS        2            4            0.54        0.1            0.64
    1119        SUCCESS        2            4            0.54        0.1            0.64
    1369        SUCCESS        2            4            0.54        0.1            0.64
    1384        SUCCESS        2            4            0.54        0.1            0.64
    1409        SUCCESS        2            4            0.54        0.1            0.64
    1454        SUCCESS        2            4            0.54        0.1            0.64
    1624        SUCCESS        2            4            0.54        0.1            0.64
    2159        SUCCESS        2            4            0.54        0.1            0.64
    2274        SUCCESS        2            4            0.54        0.1            0.64
    2714        SUCCESS        2            4            0.54        0.1            0.64
    2799        SUCCESS        2            4            0.54        0.1            0.64
    3174        SUCCESS        2            4            0.54        0.1            0.64
    3414        SUCCESS        2            4            0.54        0.1            0.64
    3639        SUCCESS        2            4            0.54        0.1            0.64
    103        SUCCESS        2            3            0.54        0.1            0.64
    223        SUCCESS        2            3            0.54        0.1            0.64
    373        SUCCESS        2            3            0.54        0.1            0.64
    453        SUCCESS        2            3            0.54        0.1            0.64
