# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    4        SUCCESS        2            4            1.1        0.1            1.2
    9        SUCCESS        2            4            1.4        1.2            2.6
    14        SUCCESS        2            4            0.4        2.6            3
    2        SUCCESS        2            2            3.01        0.1            3.11
    3        SUCCESS        2            3            4.12        0.1            4.22
    7        SUCCESS        2            2            1.22        3.11            4.33
    12        SUCCESS        2            2            0.33        4.33            4.67
    8        SUCCESS        2            3            0.55        4.22            4.78
    0        SUCCESS        2            0            5        0.1            5.1
    1        SUCCESS        2            1            5.25        0.1            5.35
    19        SUCCESS        2            4            3.2        3            6.2
    24        SUCCESS        2            4            0.4        6.2            6.6
    29        SUCCESS        2            4            1.2        6.6            7.8
    13        SUCCESS        2            3            4.87        4.78            9.65
    34        SUCCESS        2            4            2.1        7.8            9.9
    5        SUCCESS        2            0            5        5.1            10.09
    17        SUCCESS        2            2            5.83        4.67            10.5
    22        SUCCESS        2            2            1.17        10.5            11.67
    39        SUCCESS        2            4            2.4        9.9            12.3
    18        SUCCESS        2            3            3.25        9.65            12.9
    44        SUCCESS        2            4            1.4        12.3            13.7
    6        SUCCESS        2            1            9.25        5.35            14.6
    27        SUCCESS        2            2            3.33        11.67            15
    49        SUCCESS        2            4            1.9        13.7            15.6
    23        SUCCESS        2            3            3.75        12.9            16.65
    32        SUCCESS        2            2            2.33        15            17.33
    54        SUCCESS        2            4            1.84        15.6            17.44
    37        SUCCESS        2            2            0.22        17.33            17.55
    28        SUCCESS        2            3            2.5        16.65            19.15
    42        SUCCESS        2            2            1.83        17.55            19.38
    10        SUCCESS        2            0            10        10.09            20.09
    11        SUCCESS        2            1            5.75        14.6            20.35
    59        SUCCESS        2            4            3.6        17.44            21.04
    33        SUCCESS        2            3            2        19.15            21.15
    38        SUCCESS        2            3            0.88        21.15            22.03
    43        SUCCESS        2            3            0.12        22.03            22.15
    47        SUCCESS        2            2            4.83        19.38            24.22
    64        SUCCESS        2            4            3.5        21.04            24.54
    48        SUCCESS        2            3            2.62        22.15            24.78
    52        SUCCESS        2            2            0.67        24.22            24.89
    16        SUCCESS        2            1            5.25        20.35            25.6
    69        SUCCESS        2            4            3.2        24.54            27.74
    57        SUCCESS        2            2            3.83        24.89            28.72
    21        SUCCESS        2            1            3.25        25.6            28.84
    53        SUCCESS        2            3            4.75        24.78            29.53
    74        SUCCESS        2            4            2.6        27.74            30.34
    26        SUCCESS        2            1            4        28.84            32.84
    79        SUCCESS        2            4            3        30.34            33.34
    62        SUCCESS        2            2            4.73        28.72            33.45
    58        SUCCESS        2            3            4.87        29.53            34.4
    15        SUCCESS        2            0            14.5        20.09            34.59
    84        SUCCESS        2            4            2.9        33.34            36.24
    67        SUCCESS        2            2            3.17        33.45            36.62
    63        SUCCESS        2            3            3.12        34.4            37.52
    89        SUCCESS        2            4            3        36.24            39.24
