# ========== OUTPUT ==========
#Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    49        SUCCESS        2            4            79.3        0.1            79.4
    284        SUCCESS        2            4            79.3        0.1            79.4
    304        SUCCESS        2            4            79.3        0.1            79.4
    349        SUCCESS        2            4            79.3        0.1            79.4
    564        SUCCESS        2            4            79.3        0.1            79.4
    1014        SUCCESS        2            4            79.3        0.1            79.4
    1219        SUCCESS        2            4            79.3        0.1            79.4
    1224        SUCCESS        2            4            79.3        0.1            79.4
    1324        SUCCESS        2            4            79.3        0.1            79.4
    1459        SUCCESS        2            4            79.3        0.1            79.4
    1489        SUCCESS        2            4            79.3        0.1            79.4
    1494        SUCCESS        2            4            79.3        0.1            79.4
    1584        SUCCESS        2            4            79.3        0.1            79.4
    2159        SUCCESS        2            4            79.3        0.1            79.4
    2499        SUCCESS        2            4            79.3        0.1            79.4
    2579        SUCCESS        2            4            79.3        0.1            79.4
    2644        SUCCESS        2            4            79.3        0.1            79.4
    2674        SUCCESS        2            4            79.3        0.1            79.4
    2764        SUCCESS        2            4            79.3        0.1            79.4
    2924        SUCCESS        2            4            79.3        0.1            79.4
    3049        SUCCESS        2            4            79.3        0.1            79.4
    3204        SUCCESS        2            4            79.3        0.1            79.4
    3244        SUCCESS        2            4            79.3        0.1            79.4
    3279        SUCCESS        2            4            79.3        0.1            79.4
    3609        SUCCESS        2            4            79.3        0.1            79.4
    3874        SUCCESS        2            4            79.3        0.1            79.4
    68        SUCCESS        2            3            99.17        0.1            99.27
    83        SUCCESS        2            3            99.17        0.1            99.27
    118        SUCCESS        2            3            99.17        0.1            99.27
    123        SUCCESS        2            3            99.17        0.1            99.27
    518        SUCCESS        2            3            99.17        0.1            99.27
    853        SUCCESS        2            3            99.17        0.1            99.27
    978        SUCCESS        2            3            99.17        0.1            99.27
    1428        SUCCESS        2            3            99.17        0.1            99.27
    1608        SUCCESS        2            3            99.17        0.1            99.27
    1698        SUCCESS        2            3            99.17        0.1            99.27
    1708        SUCCESS        2            3            99.17        0.1            99.27
    1733        SUCCESS        2            3            99.17        0.1            99.27
    1878        SUCCESS        2            3            99.17        0.1            99.27
