# ========== OUTPUT ==========
# Cloudlet ID    STATUS    Data center ID    VM ID        Time    Start Time    Finish Time
    19        SUCCESS        2            4            79.3        0.1            79.4
    154        SUCCESS        2            4            79.3        0.1            79.4
    289        SUCCESS        2            4            79.3        0.1            79.4
    689        SUCCESS        2            4            79.3        0.1            79.4
    1274        SUCCESS        2            4            79.3        0.1            79.4
    1409        SUCCESS        2            4            79.3        0.1            79.4
    1564        SUCCESS        2            4            79.3        0.1            79.4
    1834        SUCCESS        2            4            79.3        0.1            79.4
    1869        SUCCESS        2            4            79.3        0.1            79.4
    1874        SUCCESS        2            4            79.3        0.1            79.4
    2029        SUCCESS        2            4            79.3        0.1            79.4
    2039        SUCCESS        2            4            79.3        0.1            79.4
    2209        SUCCESS        2            4            79.3        0.1            79.4
    2304        SUCCESS        2            4            79.3        0.1            79.4
    2364        SUCCESS        2            4            79.3        0.1            79.4
    2519        SUCCESS        2            4            79.3        0.1            79.4
    2554        SUCCESS        2            4            79.3        0.1            79.4
    2929        SUCCESS        2            4            79.3        0.1            79.4
    3199        SUCCESS        2            4            79.3        0.1            79.4
    3204        SUCCESS        2            4            79.3        0.1            79.4
    3304        SUCCESS        2            4            79.3        0.1            79.4
    3309        SUCCESS        2            4            79.3        0.1            79.4
    3609        SUCCESS        2            4            79.3        0.1            79.4
    3944        SUCCESS        2            4            79.3        0.1            79.4
    233        SUCCESS        2            3            99.12        0.1            99.22
    433        SUCCESS        2            3            99.12        0.1            99.22
    568        SUCCESS        2            3            99.12        0.1            99.22
    713        SUCCESS        2            3            99.12        0.1            99.22
    908        SUCCESS        2            3            99.12        0.1            99.22
    1148        SUCCESS        2            3            99.12        0.1            99.22
    1633        SUCCESS        2            3            99.12        0.1            99.22
    1853        SUCCESS        2            3            99.12        0.1            99.22
    2113        SUCCESS        2            3            99.12        0.1            99.22
    2128        SUCCESS        2            3            99.12        0.1            99.22
    2293        SUCCESS        2            3            99.12        0.1            99.22
    2443        SUCCESS        2            3            99.12        0.1            99.22
    2698        SUCCESS        2            3            99.12        0.1            99.22
    2713        SUCCESS        2            3            99.12        0.1            99.22
    2938        SUCCESS        2            3            99.12        0.1            99.22
    3138        SUCCESS        2            3            99.12        0.1            99.22
    3193        SUCCESS        2            3            99.12        0.1            99.22
    3223        SUCCESS        2            3            99.12        0.1            99.22
    3803        SUCCESS        2            3            99.12        0.1            99.22
    3848        SUCCESS        2            3            99.12        0.1            99.22
    3968        SUCCESS        2            3            99.12        0.1            99.22
    42        SUCCESS        2            2            132.17        0.1            132.27
    67        SUCCESS        2            2            132.17        0.1            132.27
    107        SUCCESS        2            2            132.17        0.1            132.27
    402        SUCCESS        2            2            132.17        0.1            132.27
    567        SUCCESS        2            2            132.17        0.1            132.27
    707        SUCCESS        2            2            132.17        0.1            132.27
    1167        SUCCESS        2            2            132.17        0.1            132.27
    1337        SUCCESS        2            2            132.17        0.1            132.27
    1527        SUCCESS        2            2            132.17        0.1            132.27
    1692        SUCCESS        2            2            132.17        0.1            132.27
    1782        SUCCESS        2            2            132.17        0.1            132.27
    1832        SUCCESS        2            2            132.17        0.1            132.27
    1902        SUCCESS        2            2            132.17        0.1            132.27
    1907        SUCCESS        2            2            132.17        0.1            132.27
    2217        SUCCESS        2            2            132.17        0.1            132.27
    2232        SUCCESS        2            2            132.17        0.1            132.27
    2387        SUCCESS        2            2            132.17        0.1            132.27
    2747        SUCCESS        2            2            132.17        0.1            132.27
    2937        SUCCESS        2            2            132.17        0.1            132.27
    2997        SUCCESS        2            2            132.17        0.1            132.27
    3107        SUCCESS        2            2            132.17        0.1            132.27
    3387        SUCCESS        2            2            132.17        0.1            132.27
    3557        SUCCESS        2            2            132.17        0.1            132.27
    3587        SUCCESS        2            2            132.17        0.1            132.27
    3617        SUCCESS        2            2            132.17        0.1            132.27
    3762        SUCCESS        2            2            132.17        0.1            132.27
    164        SUCCESS        2            4            156.81        0.1            156.91
    749        SUCCESS        2            4            156.81        0.1            156.91
    994        SUCCESS        2            4            156.81        0.1            156.91
    1014        SUCCESS        2            4            156.81        0.1            156.91
    1289        SUCCESS        2            4            156.81        0.1            156.91
    1389        SUCCESS        2            4            156.81        0.1            156.91
    1754        SUCCESS        2            4            156.81        0.1            156.91
    1899        SUCCESS        2            4            156.81        0.1            156.91
    1904        SUCCESS        2            4            156.81        0.1            156.91
    1934        SUCCESS        2            4            156.81        0.1            156.91
    2479        SUCCESS        2            4            156.81        0.1            156.91
    2629        SUCCESS        2            4            156.81        0.1            156.91
    2709        SUCCESS        2            4            156.81        0.1            156.91
    2784        SUCCESS        2            4            156.81        0.1            156.91
    2914        SUCCESS        2            4            156.81        0.1            156.91
    3064        SUCCESS        2            4            156.81        0.1            156.91
    3284        SUCCESS        2            4            156.81        0.1            156.91
    3529        SUCCESS        2            4            156.81        0.1            156.91
    3544        SUCCESS        2            4            156.81        0.1            156.91
    3664        SUCCESS        2            4            156.81        0.1            156.91
    3774        SUCCESS        2            4            156.81        0.1            156.91
    3834        SUCCESS        2            4            156.81        0.1            156.91
    108        SUCCESS        2            3            196.4        0.1            196.5
    588        SUCCESS        2            3            196.4        0.1            196.5
    1138        SUCCESS        2            3            196.4        0.1            196.5
    1163        SUCCESS        2            3            196.4        0.1            196.5
    1288        SUCCESS        2            3            196.4        0.1            196.5
    1308        SUCCESS        2            3            196.4        0.1            196.5
    1338        SUCCESS        2            3            196.4        0.1            196.5
    1373        SUCCESS        2            3            196.4        0.1            196.5
    1758        SUCCESS        2            3            196.4        0.1            196.5
    2008        SUCCESS        2            3            196.4        0.1            196.5
    2703        SUCCESS        2            3            196.4        0.1            196.5
    2883        SUCCESS        2            3            196.4        0.1            196.5
    2963        SUCCESS        2            3            196.4        0.1            196.5
    3273        SUCCESS        2            3            196.4        0.1            196.5
    3328        SUCCESS        2            3            196.4        0.1            196.5
    3463        SUCCESS        2            3            196.4        0.1            196.5
    3513        SUCCESS        2            3            196.4        0.1            196.5
    3613        SUCCESS        2            3            196.4        0.1            196.5
    3643        SUCCESS        2            3            196.4        0.1            196.5
    3833        SUCCESS        2            3            196.4        0.1            196.5
    1        SUCCESS        2            1            198.38        0.1            198.48
    66        SUCCESS        2            1            198.38        0.1            198.48
